# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9012312,114945,20524,995465,1778474,115200,27117,1420,349,4938,67929,2950
1,9409726,125918,24713,1055418,1894441,124022,27793,1412,373,4621,68541,3036
1,3683042,53387,18693,414745,709572,45588,15938,1313,316,6483,59576,2937
1,9206296,117287,21212,1010217,1810869,117582,26855,1400,372,9594,67465,2964
1,3751340,54524,19002,422991,718945,48189,16250,1297,315,3822,59590,2827
1,3476071,45224,15474,369127,643101,41621,15125,1285,350,4143,59499,2613
1,5324850,59280,19320,578800,987615,61622,18715,1810,426,3883,72517,2884
1,3474093,45212,15554,368355,642562,42171,15609,1300,368,5222,59336,2788
1,9183196,116962,21306,1007726,1815080,118655,27542,1441,327,6399,66142,3055
1,5152239,51400,16039,535901,928930,57888,18689,1865,401,4797,75338,2986
1,9364812,125109,24495,1049792,1884639,120342,27515,1411,343,3864,68456,3381
1,5341894,59264,19064,578246,991371,61425,18796,1825,419,4078,75469,3109
1,5329717,59032,19151,577380,988990,61625,18666,1890,438,3687,74075,2909
1,5398250,60430,19578,586470,999815,62513,18089,1855,486,4522,72583,2890
1,5398250,60379,19477,586453,1000801,61398,19150,1988,491,4067,74467,2962
1,3709748,53561,18724,415851,715100,47147,15909,1419,357,5278,61646,2796
1,9294336,118154,21400,1016815,1803304,116248,26585,1436,357,5251,66428,3221
1,5312696,59136,19140,577723,985378,58722,18566,1983,417,3654,72301,2887
1,5329770,59027,19264,577388,989038,58706,18847,2069,488,5084,73346,3000
1,9204974,116973,21367,1007195,1797373,116107,27113,1550,339,8067,67851,2992
1,3324347,43739,14851,355737,621901,41783,15329,1296,304,4119,58034,2898
1,3703472,53680,18635,416539,709366,47367,16151,1272,354,4989,60828,2870
1,8987784,114992,20498,993031,1777586,116823,27093,1410,312,5257,66655,3026
1,5195483,51472,16239,537139,932308,58504,18466,1886,469,3649,71909,2940
1,5398120,60304,19617,586437,999799,62423,18687,1967,414,5221,72294,2917
1,3509703,45364,15665,369313,645495,42521,15339,1258,400,4795,59392,2683
1,3548763,45546,15570,371946,650742,42738,15538,1262,370,5335,59771,2720
1,3474030,45261,15658,368337,641343,42941,15607,1306,364,3698,60125,2753
1,5389785,60371,19446,586401,1000333,60014,18444,1814,441,7010,72657,2963
1,5161472,51466,16161,536052,928594,55225,18421,2029,463,6449,74799,2888
1,3690234,53446,18863,415476,707184,47045,16074,1349,378,4858,59686,2628
1,5383933,60237,19485,585359,997522,62361,18527,1844,425,4276,72599,2996
1,3509767,45387,15395,369310,644288,41424,15195,1340,341,4408,59551,2837
1,3716994,53577,18656,416561,715085,46136,15902,1306,349,3498,61073,2753
1,4963470,49674,15570,519587,900010,53642,18024,1981,475,5882,73363,2908
1,4962618,49279,15399,522070,899354,56546,18173,1951,394,4826,74331,3003
1,5384023,60180,19517,585376,997547,61959,18496,1841,463,6345,75283,3045
1,9152951,116358,21071,1001391,1814976,118163,27160,1442,401,6222,67737,3008
1,3331346,43745,14878,356444,619543,41360,15080,1294,327,3596,59670,2708
1,9491265,126530,24876,1064848,1877101,119324,27182,1451,371,4065,67997,3241
1,4962675,49348,15453,522080,899361,56246,18673,1996,436,4096,73058,2907
1,3765592,54653,19033,423285,720791,46865,15724,1313,378,9516,61928,2721
1,5115650,51037,15912,532584,922667,56734,18189,1910,444,10497,76520,3005
1,5195477,51319,16122,537129,932304,57204,18236,1998,402,5123,71845,2908
1,9381958,124993,24275,1050732,1863794,120807,27342,1430,289,5111,67915,3135
1,5316776,59114,19159,577687,984895,60405,18489,1975,462,5613,73994,2994
1,5330169,59176,19158,578784,987060,60349,18681,1884,423,4762,73923,3015
1,9236663,117734,21325,1014175,1808772,117163,27334,1409,367,5673,67405,2984
1,3692951,53599,18759,416214,706423,45742,15786,1295,417,4247,60820,2950
1,9369617,125147,24199,1048865,1880818,120617,27689,1400,334,6764,69400,3136
1,5316874,59063,19171,577685,984892,60654,18330,1837,457,3714,72721,3033
1,5316753,59068,18951,577687,984891,60413,18327,1855,467,3312,72739,3063
1,9434636,125867,24827,1058557,1874821,118043,28053,1465,344,5021,67288,3180
1,3756793,54602,19009,423351,722510,47304,16331,1268,424,3288,62322,2833
1,9016740,114871,20760,995934,1785675,115777,27080,1389,320,4300,69118,3008
1,9234823,116413,21204,1011000,1825418,117133,26957,1414,336,4086,68048,2913
1,9524654,126812,25022,1068682,1877359,121454,27802,1397,384,3409,70352,3105
1,5322218,59082,19024,577682,984890,58547,18801,2003,513,4724,72390,2978
1,5195593,51409,16289,537140,932332,57470,18332,1884,411,8281,75324,2900
1,9152230,116697,21401,1004455,1802462,112779,26756,1570,323,4728,65881,3034
1,5324917,59207,19057,578809,987614,61389,18623,1830,429,6797,73501,3113
1,9178712,117029,21315,1007084,1809727,115458,27059,1438,322,4615,69091,3044
1,5161433,51477,16029,536046,928596,57757,18424,1898,470,5686,72539,2929
1,5341804,59264,19197,578214,991378,60736,18256,1853,449,5642,75794,2979
1,5389775,60242,19479,586409,1000340,61856,18449,1840,454,14258,74760,2862
1,9501075,126806,25077,1065436,1874332,120122,27646,1427,343,5404,69038,3075
1,3697914,53322,18455,415039,711551,45548,15957,1298,357,5139,60673,3072
1,5316846,59055,19147,577676,984897,61205,18566,1844,434,4474,73207,3149
1,9402053,125324,24377,1052284,1883247,121465,27188,1455,329,5221,66551,3210
1,9040288,115607,20628,995745,1788735,113362,26563,1651,361,6061,68221,3002
1,3324280,43753,15077,355735,620733,42160,15507,1340,377,3857,58443,2803
1,9259985,117844,21364,1014617,1811547,115342,27406,1708,302,4894,66361,3025
1,5330185,59319,19118,578771,987059,61671,18713,1814,430,6987,74271,2813
1,5324946,59247,19207,578803,987607,61999,18908,2010,420,5600,73806,2996
1,3322527,43358,14799,358079,619886,41354,15232,1296,336,3247,60134,2782
1,5330117,59217,19076,578777,987061,62335,19230,1818,443,5419,72444,2945
1,3709847,53542,18839,415859,712710,45791,16282,1365,404,3295,60533,2796
1,3709908,53393,18729,415864,712721,46692,15997,1368,338,3436,60400,2950
1,3716906,53615,18738,416557,712701,46650,15890,1353,349,8705,61319,2852
1,3502536,45165,15442,368599,644286,41960,15125,1374,410,5162,58833,2773
1,9112783,116512,20900,1003818,1794349,113644,26689,1516,367,8672,66196,2994
1,9336438,124608,24288,1046950,1878687,120574,27542,1527,380,4507,68053,3171
1,3331526,43855,15010,356482,619542,41351,15124,1292,338,4014,58586,2796
1,3468935,45223,15429,368403,643081,41819,15439,1355,357,3632,60186,2707
1,3678669,53397,18569,414782,707615,45946,16047,1314,326,5544,60871,2879
1,5195551,51535,16063,537153,932307,58304,18407,1908,440,4290,71664,2938
1,5195575,51502,16153,537147,932302,57675,18281,1969,443,4886,71905,2798
1,5329813,59054,19249,577402,989011,60855,18643,1845,398,4732,74910,2977
1,5152147,51361,16131,535870,928933,57218,18065,1904,444,5032,72988,2917
1,5147725,51138,15940,533440,925630,56573,18408,1909,402,6060,74077,3134
1,9227972,115962,21259,1010435,1815088,117919,27163,1420,360,6161,67582,2966
1,3490315,45155,15643,368696,646204,42800,15592,1289,323,3902,61824,2691
1,4963471,49599,15334,519579,900003,55199,17273,1860,428,5143,73840,2834
1,3509704,45304,15466,369312,645475,42224,15460,1432,349,6238,59327,2683
1,9392253,125301,24549,1051558,1866649,121583,27959,1379,333,3618,68165,3002
1,5115612,51090,16083,532579,922140,58073,18555,1946,442,4220,74363,2897
1,3744142,54449,19197,422263,720138,47610,16232,1273,375,3076,61263,2878
1,9448226,125841,24696,1059639,1876714,118724,27440,1613,381,5933,68636,3084
1,9268211,118063,21299,1015277,1815108,114638,27613,3729,398,6121,67375,3019
1,3690247,53578,18836,415471,709564,46599,15810,1334,380,6778,59381,2789
1,3772882,54762,18942,424012,723157,47295,15961,1277,329,5952,61225,2805
1,3509708,45278,15562,369309,644300,42895,15259,1320,341,4540,59157,2796
1,3509804,45416,15571,369310,645476,41054,15140,1320,345,4280,59417,2788
1,9208091,117572,21392,1008546,1810568,115909,26484,1447,373,4080,69137,2873
1,9240410,117243,21125,1011469,1789852,115965,26515,1444,353,3465,67415,3008
