# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9012312,114945,20524,995465,1778474,115200,27117,1420,349,4938,67929,2950
1,5383921,60152,19579,585363,997524,61590,18750,1852,445,5035,73903,3156
1,3324319,43754,14864,355737,620783,41394,15627,1307,365,3733,57638,2857
1,5389683,60402,19383,586408,1000342,62148,18310,1848,449,5201,74467,3049
1,3678660,53337,18553,414784,707605,46528,15938,1335,390,4852,61150,2967
1,3518839,45640,15584,371731,648940,42300,15712,1371,407,4066,59523,2719
1,3555783,45710,15601,372631,651935,42673,15253,1267,367,8829,57381,2759
1,5152137,51487,15955,535871,928927,56584,18509,1876,435,5573,74482,2833
1,9511296,126851,24770,1066752,1887336,120699,27506,1522,407,8131,68871,3247
1,3709790,53490,18630,415851,712699,47865,15917,1310,364,4745,61423,2758
1,3697816,53470,18599,415030,711525,46495,15998,1330,356,5521,60012,2858
1,3526070,45699,15558,372483,650127,39879,15421,1446,382,7027,61094,2795
1,3690234,53446,18863,415476,707184,47045,16074,1349,378,4858,59686,2628
1,9225192,117260,21479,1010885,1807782,115407,26935,1439,350,4792,65658,2963
1,5324937,59263,18977,578812,987601,63206,18780,1807,457,5370,74960,3000
1,5377212,60090,19412,585325,997977,61045,18577,1816,481,5591,73494,3051
1,9380951,125165,24187,1049886,1884436,119945,27333,1513,369,3602,66484,3144
1,3710668,53838,18704,417246,708175,47613,16318,1330,331,3336,59723,2833
1,5341868,59167,18999,578224,991374,62199,17881,1812,407,5445,73365,3116
1,9398149,125057,24350,1052149,1877272,122264,27163,1452,329,4394,66192,3293
1,9250346,117773,21374,1013571,1792692,114915,27208,1590,335,5565,68953,3012
1,5115649,51045,15885,532590,922167,57107,18623,1842,466,3431,72011,2916
1,8937917,114686,20488,984014,1791306,116545,26992,1379,356,4724,64381,3059
1,3324312,43762,14844,355739,619540,41269,16082,1353,373,3868,57243,2835
1,5383936,60155,19646,585366,997512,61871,18453,1909,417,5689,73023,3047
