# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,31839,676,201,6673,9740,818,385,70,27,126,3095,2
1,31857,670,201,6673,9740,829,387,54,35,164,3208,2
1,32158,673,201,6712,9785,826,349,19,22,137,3025,24
1,32218,680,201,6726,9780,817,336,19,30,149,3051,15
1,32128,675,202,6711,9783,962,437,19,30,129,3106,25
1,31857,675,201,6673,9760,946,453,65,37,161,2984,1
1,31816,655,202,6669,9763,1053,380,54,35,137,3052,1
1,31827,667,201,6671,9737,846,383,35,35,133,3167,2
1,32155,688,202,6711,9783,867,392,19,35,156,3138,32
1,31854,648,201,6681,9739,963,340,16,35,107,3193,8
1,31824,662,201,6677,9740,800,374,64,20,134,3011,0
1,31789,666,201,6667,9740,821,384,15,22,125,3087,2
1,31870,669,201,6691,9785,833,394,56,30,134,3062,9
1,32147,683,201,6718,9780,937,401,19,19,136,3067,15
1,32181,658,202,6722,9784,1133,431,19,29,131,3065,32
1,31848,657,201,6681,9743,776,296,58,30,136,3226,6
1,31792,671,202,6661,9737,1015,456,38,30,138,3116,1
1,32118,681,201,6694,9780,842,357,19,30,126,2986,10
1,31835,667,201,6681,9763,845,408,26,30,172,3206,3
1,31816,668,201,6669,9763,822,388,26,35,149,3094,2
1,31860,671,201,6681,9763,833,383,25,35,166,3267,1
1,32166,679,201,6713,9785,809,326,9,19,139,3235,21
1,31821,648,201,6676,9758,1072,377,35,34,134,3257,3
1,31881,645,201,6698,9740,747,244,77,38,123,3088,1
1,31840,653,201,6680,9742,714,240,26,30,119,3062,1
1,31832,666,201,6680,9743,793,386,26,30,139,3009,0
1,32128,676,201,6702,9782,886,408,50,27,149,3272,38
1,32160,685,201,6714,9797,824,347,16,35,128,3216,24
1,32161,678,201,6705,9780,831,348,19,30,147,3016,30
1,32131,682,202,6703,9785,810,343,9,21,134,3073,13
1,32181,677,201,6708,9793,857,359,93,23,163,3175,31
1,31848,645,202,6681,9743,1083,365,26,30,171,3508,5
1,31840,663,202,6680,9743,797,314,28,30,129,3288,2
1,32218,678,202,6720,9794,884,350,48,25,217,3651,23
1,32147,675,201,6710,9803,832,337,9,35,115,3008,14
1,32122,663,201,6702,9778,1002,385,80,40,134,2961,27
1,31834,672,201,6673,9739,829,395,77,27,152,3113,2
1,31840,655,203,6685,9738,913,357,26,35,119,3112,1
1,32155,682,202,6711,9803,855,368,69,41,147,3077,29
1,31865,676,201,6674,9740,843,407,56,44,155,3111,4
1,32153,683,202,6704,9782,851,367,8,30,172,3286,71
1,31840,654,201,6680,9743,723,222,41,30,122,3022,1
1,32155,678,201,6711,9783,831,341,28,33,121,3486,36
1,32163,672,201,6721,9783,942,427,19,21,108,3022,23
1,31832,663,201,6680,9763,812,350,16,30,164,3067,6
1,31884,675,201,6683,9740,933,460,26,30,167,3101,1
1,31840,664,201,6685,9740,826,383,101,35,131,3131,1
1,32161,683,201,6705,9781,808,334,29,30,154,2993,25
1,32185,674,201,6722,9803,833,357,18,35,147,3028,29
1,31865,660,201,6683,9757,982,444,35,35,154,3106,0
1,31862,645,201,6681,9765,1037,355,26,22,153,3028,0
1,31827,666,201,6671,9745,813,380,23,22,126,3024,2
1,32117,678,201,6707,9798,838,333,75,48,152,3111,23
1,31832,671,201,6680,9743,841,392,38,24,158,2974,3
1,31816,667,201,6669,9743,827,386,26,35,141,3074,0
1,32118,686,202,6694,9780,882,384,64,37,117,3047,16
1,31891,658,201,6694,9738,769,226,26,22,109,3138,2
1,31842,647,201,6674,9739,948,319,26,22,183,3064,1
1,31799,658,201,6663,9779,929,454,48,23,148,3081,3
1,31847,647,202,6674,9760,1028,380,89,33,196,3484,0
1,32120,678,201,6708,9781,828,328,59,25,119,2990,31
1,32141,681,202,6705,9779,817,347,18,22,162,3177,26
1,32153,678,201,6704,9780,849,365,25,30,121,2987,20
1,32123,679,202,6710,9800,830,344,58,24,163,3020,27
1,32106,683,202,6695,9779,843,371,9,22,144,2961,25
1,32117,682,202,6707,9778,871,368,27,35,160,3073,29
1,32136,676,201,6716,9778,812,345,9,47,105,3109,13
1,31889,671,201,6691,9743,861,417,26,35,143,3154,0
1,32111,681,202,6695,9780,842,368,47,32,177,3180,26
1,31851,655,201,6679,9764,734,219,115,34,132,2964,2
1,32128,676,201,6709,9780,823,329,72,25,189,3262,29
1,32147,655,202,6718,9780,993,412,28,22,127,3045,20
1,31840,659,201,6680,9743,766,294,26,30,146,3089,2
1,32141,675,202,6705,9779,836,364,9,21,142,3142,19
1,32185,670,201,6722,9784,894,360,27,35,150,3055,36
1,31892,676,202,6684,9740,981,459,64,37,146,3264,0
1,32144,684,202,6712,9784,849,355,18,21,142,3104,20
1,31886,663,201,6690,9745,808,382,48,50,148,3043,9
1,32155,688,201,6711,9785,895,400,62,41,150,3147,39
1,31878,651,201,6692,9763,717,214,26,30,142,3177,1
1,31865,650,201,6674,9740,749,241,40,30,127,3226,4
1,31834,656,202,6674,9739,826,320,26,30,155,3042,2
1,32093,676,201,6699,9800,829,347,19,22,281,2865,19
1,31778,652,201,6665,9738,758,253,35,35,133,3048,1
1,31884,657,201,6683,9740,892,329,35,44,128,3140,2
1,31824,668,201,6677,9760,824,389,77,37,149,3091,2
1,31851,657,201,6679,9762,735,256,59,42,135,3050,4
1,31840,651,201,6680,9744,748,269,26,30,122,3087,8
1,32273,676,201,6739,9811,954,431,22,22,132,3011,24
1,32112,674,201,6700,9783,935,433,29,35,124,3050,36
1,31857,663,202,6673,9740,1045,458,33,30,132,3071,2
1,31789,656,201,6667,9739,787,273,69,32,119,3009,2
1,32085,676,201,6698,9801,843,375,19,22,142,3360,27
1,31827,655,201,6671,9736,932,330,60,46,102,3114,2
1,31848,646,202,6681,9743,950,331,26,30,220,3392,2
1,31897,650,201,6701,9743,830,287,59,51,143,3063,0
1,32136,675,201,6711,9783,850,357,19,30,119,3027,18
1,31840,650,201,6680,9763,776,270,26,30,166,3003,2
1,31862,650,201,6681,9745,1064,411,48,35,136,3121,1
1,32211,656,201,6719,9812,1133,408,34,48,169,3062,30
1,32166,679,201,6713,9805,834,354,18,19,145,3013,26
1,32183,661,201,6722,9783,1109,454,19,35,213,3391,25
1,31827,649,201,6671,9737,723,219,62,38,138,3020,1
1,31851,671,201,6679,9743,961,437,26,35,135,3027,4
1,31834,678,202,6673,9739,936,449,26,22,121,3121,1
1,31884,663,201,6683,9739,815,294,59,37,150,3055,0
1,31813,677,201,6675,9740,876,427,23,37,148,3080,7
1,31897,661,201,6701,9763,818,365,52,30,152,3079,4
1,32171,683,201,6722,9783,843,350,17,30,147,3107,19
1,31805,661,202,6670,9763,820,348,54,30,117,3030,2
1,31839,662,201,6674,9739,873,386,61,38,249,3116,5
1,32169,682,201,6717,9779,845,375,13,21,186,3419,37
1,31851,651,201,6679,9743,1032,357,38,39,151,3133,0
1,32216,675,202,6718,9791,897,391,21,22,254,3171,31
1,32125,676,202,6708,9778,1009,446,18,35,270,2833,25
1,32118,678,201,6694,9782,798,340,15,21,123,3104,65
1,32136,685,202,6716,9798,847,362,18,35,119,3065,19
1,32101,677,202,6701,9803,836,342,28,30,129,3057,20
1,32103,662,201,6694,9819,998,391,19,21,99,3103,24
1,32197,672,201,6725,9785,885,372,71,43,142,3177,32
1,32161,684,201,6705,9780,848,374,62,37,152,3022,24
1,31832,669,201,6680,9763,817,389,59,30,125,3024,4
1,32159,689,201,6711,9787,857,378,20,35,112,3143,44
1,31830,656,201,6664,9739,768,261,65,28,184,3204,3
1,31865,658,201,6674,9760,743,254,38,40,119,3232,3
1,31821,666,201,6676,9758,847,393,26,35,228,3241,1
1,31851,654,201,6679,9741,725,224,40,22,145,3062,3
1,32247,677,201,6730,9792,834,368,20,22,164,3255,15
1,32176,680,201,6716,9801,849,361,53,33,178,3267,27
1,32150,678,201,6719,9780,822,349,18,22,119,3033,16
1,31848,663,201,6681,9763,809,343,90,37,165,3388,0
1,32163,695,204,6714,9784,988,454,19,35,165,3205,25
1,32149,681,202,6712,9779,845,352,26,32,107,3019,18
1,31859,676,201,6680,9743,954,446,98,36,181,3146,0
1,31859,649,201,6680,9743,753,259,74,31,215,3079,1
1,32147,689,201,6711,9783,960,438,34,35,153,3069,42
1,32174,675,201,6728,9778,861,368,19,35,152,3102,19
1,31892,662,201,6684,9739,1015,347,26,30,203,3259,1
1,31816,665,201,6669,9743,1009,445,33,35,136,3030,1
1,32198,650,201,6724,9785,1142,450,29,21,174,3232,18
1,31857,669,201,6673,9740,841,387,51,34,139,2988,2
1,32130,679,201,6703,9777,823,340,25,35,178,3152,22
1,31816,654,201,6669,9742,754,236,56,35,152,3020,4
1,31821,664,201,6676,9758,830,383,26,35,220,3250,3
1,31849,653,201,6673,9740,889,331,33,30,135,3015,5
1,31813,675,201,6675,9758,929,443,20,35,145,3060,2
1,31892,637,201,6684,9740,975,316,26,30,217,3135,0
1,32166,679,202,6713,9785,824,348,9,22,148,3042,27
1,32136,675,202,6711,9784,971,412,20,21,131,3014,19
1,31827,668,201,6671,9737,841,385,77,42,132,3049,0
1,31820,650,201,6665,9739,891,334,66,45,206,3255,3
1,32120,680,201,6701,9803,866,373,32,30,157,3094,11
1,32168,659,202,6713,9805,968,376,38,27,146,3262,20
1,31884,649,201,6692,9737,1168,442,46,40,197,3181,0
1,32132,681,201,6702,9787,865,382,63,37,145,3119,23
1,32183,680,201,6715,9800,827,347,19,30,115,3108,23
1,32120,682,202,6708,9800,837,346,19,22,122,3012,19
1,32153,672,201,6704,9782,999,448,8,21,142,3050,68
1,32194,674,202,6722,9784,852,349,25,21,189,2950,28
1,31827,666,201,6671,9756,988,450,61,35,110,3083,0
1,32168,684,202,6715,9779,846,360,50,22,165,2971,18
1,31851,661,201,6679,9744,877,364,95,38,192,3395,2
1,32114,687,202,6696,9800,843,359,24,22,254,3177,33
1,32155,679,201,6711,9803,846,361,53,36,156,3092,24
1,31895,674,201,6693,9759,846,402,70,34,115,3072,1
1,32161,684,202,6705,9780,840,336,18,30,156,3098,33
1,31849,648,201,6682,9737,1093,416,23,35,128,2992,0
1,32146,685,201,6705,9779,856,366,9,30,153,3046,34
1,32155,673,201,6711,9783,884,378,50,35,131,3136,36
1,32144,680,201,6712,9805,818,365,59,30,142,2994,15
1,32188,684,201,6715,9780,848,356,21,21,145,3076,22
1,32158,681,202,6712,9785,822,341,9,22,136,3092,22
1,32212,679,201,6720,9791,857,370,19,22,168,3293,20
1,31851,657,201,6679,9762,773,276,80,47,135,3056,3
1,32166,678,201,6713,9785,877,375,18,21,151,3060,21
1,32131,680,201,6712,9783,825,342,17,30,122,3069,15
1,32168,677,201,6715,9779,824,346,19,22,144,3009,19
1,32161,687,201,6705,9800,830,360,48,30,154,3043,23
1,31823,664,201,6664,9740,917,417,38,36,133,3166,2
1,31799,664,201,6663,9758,1035,470,16,22,129,2962,0
1,32153,676,201,6704,9780,1024,439,19,21,105,3027,24
1,31859,675,201,6680,9743,896,452,26,35,138,3146,1
1,31821,654,201,6676,9758,793,299,26,35,220,2733,1
1,31862,666,201,6682,9737,815,382,26,35,209,3394,3
1,31843,648,201,6679,9742,997,305,39,28,123,3243,2
1,31851,659,201,6687,9740,882,332,46,22,130,2981,1
1,31839,653,201,6673,9740,786,268,76,45,127,2993,0
1,32130,684,201,6703,9777,838,345,19,35,145,3238,25
1,31889,643,203,6691,9766,1043,346,57,24,122,3055,1
1,31834,664,202,6673,9739,1098,461,23,22,131,3023,2
1,32130,681,201,6703,9777,832,354,9,35,165,3039,27
1,32201,656,202,6733,9783,1092,452,8,21,146,3043,30
1,32138,658,201,6704,9779,1031,425,8,21,129,3074,38
1,32152,681,202,6714,9777,834,352,19,32,144,2991,18
1,32181,677,202,6708,9792,889,385,65,38,153,3207,31
1,32150,676,202,6712,9824,862,379,49,39,224,3477,35
1,31862,666,201,6681,9746,817,380,64,27,153,3092,1
1,32160,682,201,6714,9778,841,348,27,35,154,3000,24
1,31840,670,201,6680,9743,919,442,57,30,151,3080,4
1,32195,675,202,6725,9779,1031,453,41,18,128,3002,33
1,32193,678,201,6723,9805,829,374,19,22,147,3040,22
1,31865,677,201,6674,9740,930,469,26,30,194,3395,2
1,31848,674,201,6681,9763,834,384,26,30,170,3341,2
1,31794,677,201,6667,9738,879,418,16,35,220,2879,2
1,31881,653,201,6690,9762,1034,346,39,24,147,3037,0
1,31904,648,201,6695,9740,1082,389,53,30,163,3235,5
1,32161,684,201,6705,9802,810,332,28,30,154,3073,67
1,32173,690,202,6715,9779,847,368,19,21,222,3201,37
1,32134,684,202,6696,9782,866,367,18,30,284,3153,66
1,31854,645,201,6688,9740,857,310,26,22,124,3077,1
1,32181,682,201,6715,9782,829,338,18,30,145,3206,66
1,32181,686,202,6715,9780,851,361,28,21,134,3016,21
1,31816,648,201,6669,9743,765,273,33,35,134,2999,3
1,32161,664,201,6705,9780,816,307,33,24,172,3039,22
1,32145,683,201,6704,9782,842,368,26,30,120,3039,63
1,32133,697,202,6704,9799,956,442,72,44,125,3007,22
1,32168,647,201,6713,9784,1124,431,27,21,158,3095,32
1,31859,667,202,6680,9763,1005,425,26,35,135,3220,2
1,31822,670,201,6663,9760,822,390,57,30,118,3051,1
1,32156,688,201,6706,9800,873,382,51,30,230,3109,23
1,31884,654,201,6683,9759,716,244,38,34,144,3010,2
1,32191,684,201,6716,9820,839,358,34,21,157,3039,25
1,31862,682,201,6681,9745,933,462,23,22,132,3108,1
1,31824,654,201,6678,9740,747,232,26,22,172,3187,0
1,32136,679,201,6716,9798,835,349,19,35,119,3042,23
1,31851,651,201,6679,9743,1021,381,37,45,141,3009,3
1,31892,654,201,6692,9746,1072,451,63,23,166,3137,2
