# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,31807,648,201,6664,9739,1032,438,26,22,134,3116,0
1,31874,679,201,6684,9739,837,416,26,30,195,3057,1
1,32147,685,202,6710,9803,844,367,9,35,116,3033,16
1,31847,648,201,6674,9759,741,228,26,30,129,3279,2
1,31840,639,202,6680,9763,1049,395,54,30,147,3007,2
1,31813,668,201,6675,9738,841,406,26,35,125,3079,0
1,31813,666,201,6671,9762,845,407,24,22,158,3079,4
1,31862,644,201,6681,9745,724,213,16,22,157,3115,1
1,31908,671,201,6700,9763,1064,466,27,35,108,3103,0
1,32151,676,202,6710,9786,862,353,48,28,88,3105,40
1,32166,677,201,6713,9805,792,330,9,21,140,2990,20
1,32182,665,201,6709,9833,1013,425,30,22,220,3485,15
1,32161,685,202,6715,9777,852,365,48,35,146,3407,29
1,32185,683,201,6722,9785,838,350,19,22,118,3008,19
1,32156,663,201,6712,9784,1120,433,53,30,145,3329,23
1,32085,684,202,6698,9782,951,420,57,28,143,3054,19
1,32187,678,202,6722,9784,853,362,24,36,128,3585,31
1,32182,677,201,6709,9812,849,363,35,22,177,3273,20
1,32117,684,201,6707,9799,820,352,38,33,162,3023,21
1,32142,681,201,6711,9783,1038,469,9,35,146,3099,24
1,31822,660,201,6663,9760,794,283,40,26,146,3148,2
1,32128,675,202,6711,9783,962,437,19,30,129,3106,25
1,32124,676,201,6701,9805,839,356,55,27,122,3108,32
1,31812,669,201,6664,9740,844,395,87,40,173,3162,4
1,32150,674,201,6720,9780,851,373,19,22,135,3011,21
1,32109,681,201,6706,9778,834,371,13,29,112,3084,32
1,31840,650,201,6680,9742,934,328,59,48,151,3093,0
1,31805,662,201,6670,9765,801,274,26,30,117,3103,8
1,32171,689,202,6716,9780,890,386,45,23,157,3025,33
1,32168,675,201,6713,9784,874,401,15,35,230,3249,17
1,31824,650,201,6670,9783,724,225,26,35,135,3058,1
1,32161,684,201,6705,9780,832,361,19,21,125,3062,33
1,32167,674,202,6712,9784,842,336,28,35,203,3279,21
1,31830,652,201,6664,9740,739,216,34,30,169,3011,1
1,31870,655,201,6682,9745,934,344,44,27,125,3272,2
1,32141,676,202,6705,9779,849,355,19,21,131,3063,26
1,32185,677,202,6722,9803,829,336,19,35,136,3005,31
1,32159,651,201,6711,9785,1145,448,20,38,127,3128,29
1,32120,685,202,6708,9781,828,352,55,27,107,2978,14
1,31886,648,201,6690,9763,723,208,26,35,198,2879,0
1,32243,661,201,6728,9791,988,410,40,17,171,3220,30
1,32133,680,201,6704,9779,819,332,19,21,95,3037,13
1,31834,672,201,6674,9760,1036,448,83,31,151,3106,1
1,32216,663,201,6718,9811,997,417,20,22,139,3205,25
