# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,5195591,51412,16152,537140,932308,56794,18054,1896,411,5252,71392,2958
1,3322537,43413,14763,358084,622240,40894,15336,1308,346,4171,60590,2917
1,9061649,115420,20775,1001085,1784658,115454,27129,1632,365,5059,67640,3023
1,3338602,43870,15039,357161,619531,40879,15477,1353,319,4328,59665,2758
1,5330102,59266,19106,578789,987071,62145,19017,1906,413,5125,72114,2997
1,3555757,45657,15808,372631,651957,41422,15576,1438,367,3916,58179,2782
1,5110425,51078,15834,532599,922684,57612,18478,1865,421,5100,74506,2766
1,5147746,51079,15785,533438,925622,57893,18355,1939,443,6297,71182,2860
1,3533158,45876,15648,373154,651321,44359,15895,1349,320,3606,60585,2805
1,9176307,116973,21333,1007229,1778228,111380,27321,1684,410,5261,65964,2958
1,9046603,115853,20619,996177,1786500,115503,26787,1388,389,5147,66132,2871
1,3685835,53497,18773,415506,707619,47766,16659,1373,367,7413,60953,2893
1,3336919,43632,15051,359527,619886,39727,15263,1454,326,2937,60207,3206
1,5161432,51449,16298,536045,928628,57644,18327,1852,410,4800,71890,2966
1,3476047,45387,15614,369120,643099,42863,15575,1318,386,4693,60845,2782
1,3481314,45292,15529,369076,643741,42594,15565,1409,363,4577,60543,2708
1,9015232,115136,20404,995695,1773955,114494,26769,1429,340,6625,66899,3210
1,5147712,51212,16174,533428,925628,56650,18077,1858,530,4085,70721,2990
1,9201075,117013,21419,1008129,1808851,117355,27011,1395,355,5814,67218,2989
1,5341892,59286,19178,578240,991372,60772,18559,1899,494,4738,73637,2863
1,3744148,54464,18969,422253,720138,48389,16283,1379,376,5329,61318,2860
1,5110456,51109,16037,532580,922673,57970,18579,1929,442,6607,74220,3031
1,5389785,60378,19636,586412,1000333,63123,18656,1800,438,4433,74197,3000
1,5330224,59330,19340,578777,987047,61476,19394,2029,436,6820,74273,3000
1,9368807,125089,24559,1050434,1885668,121231,27327,1406,345,7558,66622,3273
1,3322622,43359,14829,358107,618662,41553,15635,1258,333,3641,59245,2812
1,5147704,51205,16147,533431,925610,56226,17749,1906,472,4075,71214,2847
1,5335408,59251,19070,578776,987062,61437,18632,1831,428,7428,74782,3062
1,5147799,51187,15794,533446,925602,57383,18200,1884,436,5504,74595,2984
1,9420040,125607,24288,1055890,1874777,120807,27196,1388,387,4548,68495,3189
1,9465159,126103,24850,1062288,1871828,120096,27368,1440,360,4308,67528,3130
1,3678626,53779,18565,414774,707617,46355,16106,1559,347,7332,61043,2900
1,3765628,54558,19260,423290,721986,44539,16027,1456,374,4165,59760,2746
1,3490240,45231,15507,368704,648558,41847,15819,1294,354,3898,58727,2609
