# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1179842,10197,3344,102214,185769,8318,3336,270,121,307,14114,445
1,6260579,77642,8102,683502,1233121,76761,12445,234,95,319,14584,378
1,6274837,77288,8163,685381,1239302,76628,12571,243,97,882,15903,338
1,2375823,12251,3226,220246,387039,18559,3292,219,97,502,13715,336
1,1494399,19644,6924,157959,265065,13605,3785,267,109,835,17119,494
1,2618764,21345,6687,272897,459347,23759,3899,239,121,558,16026,419
1,1465497,19328,6839,156177,265522,13253,3858,285,113,399,15037,526
1,1432703,18417,6493,150374,254425,11728,3646,257,98,497,15420,542
1,1487248,19540,6890,157249,265065,12570,3796,263,121,340,15550,476
1,1424009,18536,6538,150817,249806,11992,3707,264,111,2337,15319,475
1,2342446,12255,3226,219296,383504,18474,3470,220,83,532,15806,340
1,1415827,18370,6484,149756,253146,12343,3794,316,115,495,15487,516
1,1487246,19529,6884,157249,266254,12734,3820,281,134,510,15507,552
1,1256429,10579,3470,105812,193243,8467,3099,260,133,502,14812,464
1,1424007,18512,6544,150817,249806,11586,3785,299,94,359,14867,525
1,2342448,12241,3225,219298,383504,18579,3483,243,101,352,14565,328
1,1416922,18469,6519,150424,254694,12274,3776,259,103,1915,15279,526
1,1227238,10620,3481,105729,190424,8229,3329,287,118,371,15639,488
1,2548389,20176,6258,265115,446117,22611,4011,221,94,622,16156,377
1,2288819,11866,3088,215765,377003,18316,3384,225,90,505,15379,339
1,2560554,20152,6245,264560,450564,22559,3963,246,114,497,16281,443
1,2530339,19973,6211,264028,444300,22765,4018,221,104,516,15783,427
1,6633023,86520,11812,740888,1349810,82624,13313,246,92,527,18306,510
1,1249280,10454,3438,105102,193243,8202,3105,258,115,519,14125,469
1,1465499,19280,6824,156177,264331,12718,3791,252,94,430,15336,558
1,6717952,88139,12241,752460,1361795,84498,13622,252,94,639,16975,452
1,1409769,18343,6473,149712,253505,11933,3788,249,118,598,15026,548
1,1487345,19566,6907,157596,262786,12889,3758,266,103,522,15177,527
1,2332115,12212,3222,218926,383524,18843,3366,224,93,309,15181,330
1,2604561,21162,6636,271822,457068,23457,3914,247,97,459,15496,399
1,6233606,77033,8103,680801,1249231,76726,12598,253,101,360,15294,370
1,6725325,88278,12275,752858,1355612,83553,13645,277,99,417,18663,449
1,1439856,18559,6526,151086,255614,11478,3723,264,93,362,15469,560
1,6196504,76859,8446,672769,1265986,78236,12977,257,103,550,16985,410
1,1402550,18196,6438,148681,249808,12921,3728,268,101,641,15094,505
1,2548621,20011,6212,263734,448226,21951,3961,242,102,406,15545,413
1,1487246,19511,6884,157247,269821,12893,3863,265,100,1004,15473,506
1,6640314,86820,11843,742528,1307408,79333,13203,308,100,1547,17582,417
1,6613761,86178,11794,738475,1351282,82180,13395,253,111,1602,19227,491
1,2288819,11838,3086,215765,377003,18467,3359,233,114,310,15252,276
1,2332113,12220,3224,218926,383524,18523,3386,226,124,785,16170,392
1,2332117,12216,3217,218928,383524,18440,3413,223,118,622,15510,355
1,6714254,88145,12274,751314,1352792,84113,13688,261,118,803,17428,493
1,1478021,19471,6887,157252,266680,12871,3925,349,89,468,15536,486
1,2325933,11881,3099,216532,379914,17966,3276,250,124,540,14948,294
1,1211037,10440,3446,104878,190792,8047,3320,252,102,434,14233,482
1,6437029,78801,8706,696865,1268255,80618,12947,286,109,918,16869,398
1,1186997,10309,3379,102926,183391,8092,3282,256,106,349,14107,479
1,2609735,21332,6680,272760,459735,22966,4325,224,96,1210,16810,429
1,2548390,20160,6266,265116,446117,22752,3981,236,126,451,16048,382
