# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,4639,129,25,1336,1584,108,96,13,0,13,656,32
1,2042,63,19,627,656,42,24,9,1,5,349,0
1,4958,117,25,1461,1727,51,33,18,1,30,665,0
1,4874,129,25,1429,1691,87,69,13,1,2,624,1
1,2042,68,18,627,656,48,31,10,1,2,371,0
1,2042,66,18,627,656,50,33,10,1,7,396,21
1,2042,64,21,627,656,44,29,12,1,17,308,0
1,2042,69,18,627,656,64,46,6,0,4,391,13
1,2042,65,19,627,656,44,29,11,1,3,392,1
1,5042,126,25,1493,1763,98,80,12,0,5,634,2
1,5798,121,25,1781,2089,67,50,21,0,6,618,0
1,4246,129,26,1189,1421,88,74,21,0,3,653,5
1,6470,143,25,1925,2302,80,59,21,1,3,690,3
1,3907,118,25,1061,1279,56,36,20,1,20,608,3
1,2042,64,19,627,656,40,23,10,0,10,361,1
1,5041,389,50,1493,5396,284,245,42,1,3,641,61
1,4832,121,25,1413,1674,61,44,13,1,7,625,0
1,5588,132,25,1701,1998,98,85,12,0,6,651,30
1,4009,119,25,1096,1313,62,46,10,0,11,652,1
1,4832,119,25,1413,1674,77,59,12,1,7,639,0
1,2042,66,18,627,656,40,24,12,0,2,364,0
1,5720,121,25,1749,2051,59,42,12,1,29,642,1
1,4750,121,25,1381,1637,76,57,13,0,7,596,2
1,4418,131,25,1253,1493,96,82,12,0,4,650,31
1,5172,121,25,1541,1817,54,35,11,1,4,622,1
1,5756,127,25,1765,2069,98,87,11,0,8,630,48
1,8623,120,25,2342,1944,67,53,13,0,48,855,0
1,5647,123,25,1720,2015,69,53,13,1,8,675,1
1,2042,67,18,627,656,43,25,6,1,4,413,0
1,5795,121,25,1781,2087,74,60,13,0,7,641,1
1,2042,64,18,627,656,42,22,6,1,24,393,0
1,5753,128,25,1765,2070,95,82,21,0,5,636,56
1,5627,126,25,1717,2015,95,79,13,1,10,627,1
1,5506,120,25,1669,1961,65,47,13,0,12,636,1
1,2042,67,18,627,656,54,36,5,0,3,386,18
1,5084,122,25,1509,1782,68,50,34,1,9,631,3
1,2042,64,18,627,656,36,21,11,1,2,388,0
1,5837,120,25,1797,2105,52,35,12,1,7,614,0
1,5335,120,25,1605,1888,73,55,11,1,4,615,1
1,5378,125,25,1621,1907,75,58,11,1,6,634,1
1,5419,120,25,1637,1924,71,54,12,1,6,626,2
1,3950,122,25,1077,1294,63,46,12,1,6,622,0
1,2042,64,18,627,656,44,25,5,1,4,391,2
1,2042,68,18,627,656,49,33,11,1,4,375,0
1,5459,123,25,1653,1946,66,47,12,0,3,643,0
1,5585,128,25,1701,1998,90,78,12,1,7,602,1
1,2042,68,18,627,656,53,37,5,0,3,412,12
1,4831,120,25,1413,1674,64,50,12,1,1,600,2
1,4244,120,25,1189,1421,65,47,12,1,8,610,2
1,4044,126,25,1109,1330,95,83,12,1,9,641,22
1,2042,70,20,627,656,57,41,10,0,18,379,19
1,4663,132,25,1349,1601,98,86,12,1,5,644,32
1,6472,138,25,1925,2298,81,58,13,1,16,640,1
1,6414,139,25,1906,2276,72,52,13,2,8,646,2
1,5293,120,25,1589,1872,56,37,12,0,3,599,0
1,5634,124,26,1717,2017,111,92,13,1,4,647,33
1,3952,119,25,1077,1295,59,40,12,1,8,604,1
1,3905,129,25,1061,1277,96,83,19,0,3,652,23
1,4624,121,25,1333,1583,67,47,19,1,20,631,2
1,4535,131,25,1301,1548,98,86,12,0,6,633,36
