# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,5262,126,25,1592,1851,96,83,11,0,10,593,0
1,4133,129,25,1160,1364,95,79,12,0,6,619,19
1,3918,126,25,1080,1275,93,78,12,0,14,591,1
1,2029,70,18,628,650,45,27,9,0,18,399,1
1,5185,131,25,1560,1813,104,88,12,0,6,627,24
1,4553,124,25,1320,1544,92,75,16,1,7,599,1
1,4444,126,25,1275,1491,91,75,17,0,19,669,2
1,4553,124,25,1320,1544,92,73,12,0,10,614,2
1,4130,127,25,1160,1365,94,81,12,0,4,609,5
1,4764,127,25,1400,1634,95,84,13,0,22,617,22
1,2029,66,18,628,650,46,29,7,0,5,393,12
1,4803,125,26,1416,1651,70,56,11,0,11,585,2
1,5601,127,25,1720,1995,91,78,11,0,15,581,1
1,5433,121,25,1656,1922,70,57,13,0,2,606,1
1,5811,125,27,1800,2085,91,79,12,0,3,593,1
1,3921,121,25,1080,1275,62,44,16,1,14,581,2
1,4508,129,25,1304,1525,93,85,12,0,20,616,24
1,6388,141,25,1909,2255,76,57,11,0,10,625,2
1,5727,127,25,1768,2048,92,76,11,0,5,604,0
1,4637,126,25,1352,1580,91,80,13,0,11,613,23
1,5432,127,25,1656,1922,93,77,13,0,6,613,24
1,5474,125,25,1672,1944,87,68,20,0,16,611,2
1,5139,124,25,1544,1797,80,66,12,0,13,621,1
1,5735,127,25,1768,2048,89,79,12,0,13,624,25
1,3823,122,26,1045,1234,74,54,19,0,14,617,2
1,5437,129,25,1656,1922,95,83,11,0,7,616,18
1,5015,118,25,1496,1744,95,74,11,0,13,609,0
1,5183,125,25,1560,1815,90,74,12,0,13,599,1
1,5227,123,25,1576,1832,65,48,12,0,17,609,0
1,2029,66,19,628,650,48,30,11,0,5,376,0
1,5766,118,25,1784,2066,56,39,12,0,15,592,0
1,3962,123,25,1096,1292,65,50,12,0,14,561,2
1,4716,122,25,1384,1619,83,64,12,0,9,584,1
1,4550,127,25,1320,1545,94,79,12,0,18,604,28
1,4842,127,25,1432,1669,96,86,12,0,10,615,25
1,2029,63,18,628,650,33,13,5,0,5,361,0
1,4513,118,25,1304,1526,64,47,17,2,23,621,1
1,2029,66,18,628,650,45,28,10,0,14,358,15
1,2029,63,18,628,650,46,26,8,1,13,297,0
1,5094,124,25,1528,1778,72,56,12,0,19,600,0
1,5477,124,25,1672,1941,97,75,19,0,13,577,0
1,5265,121,25,1592,1851,71,56,28,0,13,600,1
1,4933,127,25,1464,1707,92,81,11,0,21,623,26
1,2029,64,18,628,650,38,21,6,0,10,302,0
1,3965,126,25,1096,1292,90,72,19,0,12,607,19
1,4214,127,25,1192,1400,62,42,12,0,5,604,0
1,5687,124,25,1752,2031,79,65,12,0,11,616,4
1,4383,126,25,1256,1473,57,39,10,0,36,590,0
1,5351,121,25,1624,1887,79,64,12,0,12,600,0
1,2029,64,18,628,650,37,20,5,0,14,370,0
1,4721,121,25,1384,1617,66,48,13,0,15,620,0
1,4847,119,25,1432,1633,84,60,18,0,16,601,1
1,5097,121,25,1528,1779,85,69,18,0,34,437,1
1,2029,67,18,628,650,47,29,9,0,23,321,12
1,5430,129,25,1656,1926,91,79,17,1,6,611,22
1,5687,125,25,1752,2031,98,82,11,0,4,596,3
1,4761,122,25,1400,1635,63,45,11,0,7,590,1
1,4806,120,25,1416,1652,54,37,12,0,23,620,2
1,2029,67,18,628,650,46,29,11,0,9,369,7
1,2029,65,18,628,650,46,25,8,0,15,268,1
1,4511,125,25,1304,1527,72,55,18,2,32,604,2
