# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9302,191,64,1908,2807,275,57,11,13,43,843,5
1,9279,188,64,1907,2803,273,57,3,16,48,837,6
1,9287,192,64,1908,2805,271,65,7,7,41,881,7
1,9227,192,64,1907,2801,265,59,11,8,48,858,3
1,9160,191,64,1907,2795,254,70,10,13,31,927,0
1,9239,194,65,1906,2800,272,60,10,15,37,850,5
1,9152,187,64,1906,2795,284,80,3,21,42,869,0
1,9121,191,64,1909,2795,222,34,7,16,74,892,0
1,9164,192,64,1908,2797,261,73,7,16,45,866,0
1,9302,192,64,1908,2806,250,58,3,16,30,855,4
1,9271,194,65,1908,2803,256,62,9,8,38,853,4
1,9164,189,64,1908,2797,264,70,7,16,59,941,2
1,9241,192,64,1909,2802,252,67,7,16,36,838,2
1,9289,192,64,1908,2804,255,61,3,7,51,858,6
1,9119,190,64,1906,2793,294,55,10,16,37,828,0
1,9158,185,64,1907,2796,306,58,7,8,44,863,0
1,9125,184,64,1907,2794,320,59,10,7,41,854,0
1,9113,186,64,1908,2794,265,56,7,16,53,873,0
1,9190,191,64,1909,2798,253,61,7,16,15,904,0
1,9107,187,64,1907,2793,227,38,21,13,49,938,0
1,9182,190,64,1908,2798,249,70,8,16,40,840,1
1,9182,190,64,1908,2798,251,65,3,16,51,920,0
1,9164,190,64,1908,2798,228,39,19,16,44,840,0
1,9113,190,64,1908,2794,232,61,7,16,44,861,0
1,9233,191,64,1908,2802,261,57,7,16,32,891,4
1,9263,194,64,1907,2803,270,68,7,8,42,969,2
1,9119,196,64,1906,2793,301,89,7,21,61,1002,0
1,9119,192,64,1906,2793,245,67,21,21,49,840,0
1,9310,193,65,1909,2806,261,60,38,18,42,854,2
1,9289,192,64,1908,2804,272,65,7,7,36,879,4
1,9240,192,65,1907,2801,264,63,7,21,42,863,4
1,9247,193,65,1907,2801,265,64,7,21,48,949,5
1,9229,190,64,1907,2800,272,62,3,21,49,969,3
1,9302,196,64,1908,2807,279,65,3,7,27,839,10
1,9113,193,65,1908,2794,301,90,11,16,47,837,0
1,9101,193,64,1906,2791,249,65,10,16,49,867,0
1,9302,194,64,1908,2806,267,69,7,7,55,977,3
1,9125,190,64,1907,2794,239,63,9,6,40,884,0
1,9227,194,65,1907,2801,262,60,7,8,38,853,8
1,9271,189,64,1908,2803,321,83,11,14,48,968,6
1,9119,186,64,1906,2793,331,53,18,20,41,887,0
1,9152,197,64,1906,2795,298,90,7,21,42,902,0
1,9125,189,64,1907,2794,239,48,7,8,38,842,0
1,9113,192,64,1908,2794,219,36,7,16,52,870,0
1,9233,197,64,1908,2802,319,105,7,16,24,867,3
1,9310,194,64,1909,2806,250,56,10,16,48,864,4
1,9119,186,64,1906,2793,325,60,10,16,20,865,0
1,9253,193,65,1908,2802,270,63,7,7,33,946,5
1,9245,192,64,1907,2802,252,59,7,8,36,837,4
1,9247,190,64,1907,2802,293,71,10,19,45,920,7
1,9241,192,64,1909,2802,265,65,7,16,33,900,3
1,9241,191,64,1909,2802,254,55,4,7,39,869,5
1,9121,188,64,1909,2794,224,41,7,16,51,975,0
1,9113,191,64,1908,2794,240,58,36,16,42,836,0
1,9295,198,64,1909,2805,354,169,7,16,46,884,5
1,9133,188,64,1908,2794,248,59,10,12,31,933,0
1,9239,191,65,1906,2801,352,87,7,7,36,867,5
1,9121,185,64,1909,2794,296,81,4,16,49,849,0
1,9107,190,64,1907,2793,303,93,7,8,47,989,0
1,9310,197,64,1909,2807,248,58,10,20,30,832,17
1,9230,194,65,1908,2800,266,65,9,18,53,1050,5
1,9182,189,64,1908,2798,234,43,36,20,44,869,0
1,9125,190,64,1907,2794,290,85,7,8,48,861,0
1,9101,193,64,1906,2792,298,112,10,21,46,956,0
1,9247,191,64,1907,2801,318,86,7,21,34,870,3
1,9190,186,64,1909,2798,233,43,29,19,57,981,0
1,9133,184,64,1908,2794,296,72,10,26,34,911,0
1,9121,190,64,1909,2794,237,64,10,18,56,864,2
1,9239,192,65,1906,2801,316,94,3,15,39,845,4
1,9310,195,64,1909,2807,262,63,7,7,40,869,12
1,9119,190,64,1906,2793,242,62,39,16,69,936,0
1,9229,190,64,1907,2800,250,55,7,21,60,961,7
1,9247,194,65,1907,2801,275,70,7,21,41,904,3
1,9113,192,64,1908,2794,239,58,7,16,35,855,0
1,9247,194,64,1907,2801,352,92,10,17,44,875,6
1,9113,188,64,1908,2794,230,49,7,16,40,858,0
1,9125,188,64,1907,2794,287,69,7,8,40,822,1
1,9127,185,64,1907,2793,351,77,7,21,68,990,1
1,9113,192,64,1908,2794,234,37,7,16,45,868,0
1,9158,191,64,1907,2796,231,39,29,13,43,852,0
1,9107,194,64,1907,2794,275,83,11,4,47,875,1
1,9166,199,64,1908,2796,314,113,7,8,72,791,0
1,9127,185,64,1907,2793,323,65,7,21,29,864,0
1,9263,191,64,1907,2803,274,60,9,8,35,942,5
1,9121,190,64,1909,2794,231,55,10,15,28,931,0
1,9271,194,65,1908,2803,278,69,38,10,42,941,5
1,9247,192,64,1907,2801,255,68,7,7,39,885,6
1,9247,193,65,1907,2801,274,62,10,36,37,972,7
1,9121,187,64,1909,2794,232,37,7,16,36,955,0
1,9245,193,65,1907,2802,247,69,8,8,40,875,4
1,9245,192,64,1907,2802,254,58,11,8,35,857,3
1,9190,188,65,1909,2798,259,79,7,16,87,937,0
1,9310,191,64,1909,2806,268,74,3,7,53,874,3
1,9113,190,64,1908,2795,250,58,10,16,44,888,3
1,9119,194,64,1906,2793,232,37,10,23,47,851,0
1,9115,191,64,1908,2793,247,66,29,11,84,982,0
1,9281,193,65,1907,2804,261,58,7,8,28,857,4
1,9164,188,64,1908,2797,258,56,7,16,54,1046,0
1,9119,190,64,1906,2793,230,58,7,21,45,833,0
1,9158,192,64,1907,2796,302,109,7,8,38,846,0
1,9121,192,64,1909,2794,252,64,3,16,67,876,0
1,9182,190,64,1908,2798,244,61,7,16,44,861,0
1,9281,189,64,1907,2804,249,60,7,8,41,855,4
1,9271,189,64,1906,2803,263,54,19,21,31,851,3
1,9279,191,64,1907,2803,269,58,7,21,33,860,4
1,9190,188,64,1909,2799,289,83,10,16,65,1066,2
1,9310,194,65,1909,2807,267,57,7,16,48,1004,12
1,9271,193,65,1908,2803,276,55,3,8,78,896,4
1,9310,195,65,1909,2806,263,61,3,7,41,859,5
1,9310,192,64,1909,2807,271,60,3,16,40,778,13
1,9166,191,64,1908,2796,239,64,5,8,48,892,0
1,9182,187,64,1908,2798,326,70,7,16,41,839,1
1,9107,192,64,1907,2793,230,36,7,8,43,936,0
1,9119,184,64,1906,2793,319,60,28,16,45,853,0
1,9310,196,64,1909,2807,262,61,7,16,39,842,12
1,9240,194,64,1907,2801,263,65,26,16,49,965,3
1,9166,185,64,1908,2796,292,75,3,8,59,935,0
1,9229,191,64,1907,2800,262,63,7,20,52,916,4
1,9113,204,64,1908,2794,310,131,29,8,39,871,0
1,9302,195,64,1908,2806,253,57,4,7,41,854,5
1,9119,186,65,1906,2793,302,68,10,14,34,839,0
1,9125,184,65,1907,2794,273,65,10,8,53,866,1
1,9107,190,64,1907,2793,240,63,29,13,39,833,0
1,9263,189,64,1907,2804,276,84,67,6,46,887,7
1,9125,191,64,1907,2794,243,71,5,15,54,836,0
1,9247,196,65,1907,2801,279,81,7,21,47,845,3
1,9289,191,64,1908,2804,246,62,6,8,43,868,4
1,9247,194,65,1907,2801,280,70,3,35,46,867,6
1,9234,192,64,1909,2802,260,54,7,16,42,963,5
1,9121,191,64,1909,2794,228,48,8,16,64,956,0
1,9101,189,64,1906,2792,240,60,40,15,46,861,0
1,9158,186,64,1907,2796,222,39,24,28,38,858,0
1,9125,189,64,1907,2794,240,58,11,7,46,856,0
1,9113,190,64,1908,2794,219,34,7,15,46,836,0
1,9241,196,64,1909,2802,259,56,7,16,43,754,3
1,9229,193,64,1907,2800,303,92,6,21,49,842,5
1,9152,189,64,1906,2795,230,55,6,21,49,846,0
1,9247,193,65,1907,2801,272,62,9,21,40,862,6
1,9229,193,65,1907,2800,258,57,7,21,49,818,4
1,9127,190,64,1907,2793,229,42,31,21,43,883,1
1,9247,201,65,1907,2801,332,115,13,21,46,872,8
1,9295,194,65,1909,2805,284,69,7,7,39,865,3
1,9247,190,64,1907,2801,313,82,3,7,70,790,6
1,9119,190,64,1906,2793,243,62,51,21,38,907,0
1,9101,192,64,1906,2792,248,65,10,21,54,869,0
