# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9119,185,65,1906,2793,287,63,7,21,36,843,1
1,9121,186,64,1909,2794,328,74,7,16,58,1120,0
1,9125,189,64,1907,2794,243,60,11,12,52,858,0
1,9302,194,65,1908,2806,271,60,3,16,26,854,2
1,9127,192,64,1907,2793,266,77,7,21,87,975,0
1,9263,192,64,1907,2803,275,65,19,8,43,969,2
1,9245,191,64,1907,2802,234,54,3,8,30,865,2
1,9113,191,64,1908,2794,238,60,10,11,41,879,0
1,9235,196,65,1908,2801,259,64,7,8,50,948,4
1,9101,190,64,1906,2792,240,62,7,21,42,834,0
1,9247,194,64,1907,2801,263,64,7,21,36,872,4
1,9172,191,64,1909,2797,242,60,38,19,35,932,0
1,9121,190,64,1909,2794,243,63,7,16,45,872,1
1,9271,189,64,1908,2803,265,72,7,8,41,874,3
1,9101,191,64,1906,2792,326,66,10,21,37,862,0
1,9127,193,64,1907,2794,252,73,8,21,56,941,0
1,9287,190,64,1908,2805,291,78,29,6,24,848,6
1,9107,187,64,1907,2793,232,41,10,6,46,843,1
1,9229,199,65,1907,2800,336,106,7,21,43,846,4
1,9310,193,65,1909,2807,265,59,15,13,45,838,14
1,9235,195,65,1908,2801,254,68,12,8,32,858,3
1,9247,201,64,1907,2803,295,109,20,14,44,949,6
1,9182,190,64,1908,2798,261,81,7,16,47,863,0
1,9113,188,64,1908,2794,267,71,7,16,51,911,0
1,9271,189,64,1908,2803,315,73,12,6,45,854,6
1,9239,192,64,1906,2801,269,63,7,21,43,891,7
1,9279,189,64,1907,2803,266,54,7,21,39,836,3
1,9164,185,65,1908,2797,340,70,28,14,43,813,2
1,9221,190,64,1906,2800,261,56,3,21,40,846,4
1,9229,190,64,1907,2800,259,56,7,21,66,916,4
1,9113,194,64,1908,2794,257,68,11,11,42,839,0
1,9158,189,64,1907,2796,251,55,10,8,47,867,0
1,9271,204,64,1908,2803,362,115,9,8,49,997,4
1,9271,193,64,1906,2803,252,67,29,26,29,842,3
1,9121,191,64,1909,2794,230,44,7,16,57,1000,0
1,9125,191,64,1907,2794,245,59,5,8,46,854,0
1,9125,185,64,1907,2794,229,32,7,8,57,949,0
1,9172,189,64,1909,2797,253,41,7,16,38,961,0
1,9107,195,64,1907,2793,271,100,10,8,42,860,0
1,9271,196,65,1908,2803,264,69,10,8,38,892,4
1,9302,194,65,1908,2807,273,63,3,7,13,910,10
1,9241,193,65,1909,2802,257,63,8,16,39,857,3
1,9263,191,64,1907,2803,260,66,37,8,56,975,4
1,9107,195,64,1907,2793,249,72,7,8,37,858,0
1,9287,202,65,1908,2805,343,126,7,16,29,856,4
1,9182,190,64,1908,2798,235,40,30,16,32,880,2
1,9119,189,64,1906,2793,245,43,11,21,39,848,0
1,9113,191,64,1908,2794,224,39,7,16,41,830,0
1,9127,185,64,1907,2793,209,69,7,21,76,950,0
1,9152,190,64,1906,2795,251,71,7,21,42,824,0
1,9239,194,65,1906,2801,266,58,22,21,37,890,6
1,9127,189,64,1907,2793,241,58,9,19,57,862,0
1,9109,188,64,1907,2792,292,81,7,21,61,957,1
1,9107,193,64,1907,2793,237,73,7,8,31,832,0
1,9271,190,64,1908,2803,271,54,7,8,66,981,4
1,9221,193,65,1906,2800,246,57,3,21,37,838,6
1,9113,189,64,1908,2794,223,34,7,16,50,865,0
1,9158,191,64,1907,2796,244,59,7,8,39,903,0
1,9158,190,64,1907,2796,242,58,14,12,41,900,0
1,9182,188,64,1908,2798,302,62,8,16,54,839,0
1,9182,191,64,1908,2798,251,60,22,16,41,844,0
1,9245,196,64,1907,2802,304,100,7,8,42,855,3
1,9190,191,64,1909,2798,242,60,10,16,41,953,0
1,9310,192,64,1909,2807,278,62,22,11,82,954,12
1,9247,193,65,1907,2801,262,60,7,15,47,882,5
1,9245,191,64,1907,2802,248,59,11,7,22,834,3
1,9271,189,64,1906,2803,247,54,7,21,32,853,8
1,9279,196,65,1907,2803,284,74,7,21,36,895,3
1,9125,189,64,1907,2794,284,76,6,8,73,1046,0
1,9245,194,65,1907,2802,334,100,6,8,44,847,3
1,9127,186,64,1907,2793,319,68,4,21,32,829,0
1,9253,194,65,1908,2802,270,58,3,7,38,858,5
1,9119,192,64,1906,2793,250,65,10,18,37,889,0
1,9221,189,64,1906,2800,336,70,7,21,27,825,4
1,9172,195,64,1909,2798,299,100,38,16,56,926,0
1,9158,193,64,1907,2796,246,83,4,8,47,860,1
1,9279,194,64,1907,2803,318,93,6,21,44,853,2
1,9182,183,64,1908,2798,281,78,7,16,48,857,1
1,9239,196,65,1906,2801,307,97,3,7,47,850,7
1,9271,193,64,1908,2804,287,67,9,8,47,872,5
1,9221,192,65,1906,2800,259,60,7,21,47,863,3
1,9113,188,64,1908,2794,271,78,51,19,58,945,1
1,9271,194,65,1908,2803,253,62,9,8,78,926,3
1,9172,183,64,1909,2797,237,42,27,16,63,817,0
1,9287,193,64,1908,2805,272,70,7,16,37,836,6
1,9239,195,65,1906,2801,264,66,7,21,28,852,6
1,9119,189,64,1906,2793,302,95,7,21,52,834,0
1,9247,196,65,1907,2801,256,66,7,21,40,962,5
1,9295,193,64,1909,2805,256,63,4,7,31,919,7
1,9302,192,64,1908,2807,259,62,7,7,40,896,11
1,9152,184,64,1906,2795,241,41,7,21,42,835,0
1,9152,192,64,1906,2795,279,68,7,21,49,859,0
1,9229,193,65,1907,2800,272,63,7,21,38,851,4
1,9271,189,64,1908,2804,280,65,8,8,57,1040,4
1,9229,195,64,1907,2800,250,61,8,21,42,990,2
1,9152,186,64,1906,2795,231,32,10,16,46,850,0
1,9239,193,65,1906,2801,274,67,7,7,29,871,4
1,9182,190,64,1908,2798,253,67,7,16,47,855,0
1,9295,192,64,1909,2805,266,63,7,16,53,845,5
1,9127,185,65,1907,2794,310,62,21,21,38,921,1
1,9253,194,64,1908,2803,266,58,7,8,45,868,6
1,9239,195,65,1906,2801,249,59,37,23,30,858,3
1,9113,192,64,1908,2794,243,67,3,16,31,833,0
1,9121,192,64,1909,2794,237,61,24,16,67,936,0
1,9235,190,64,1908,2801,250,57,3,8,36,862,0
1,9235,191,64,1908,2801,265,56,4,8,46,851,3
1,9287,197,64,1908,2805,274,89,7,7,26,871,7
1,9295,191,64,1909,2805,272,61,13,20,55,1012,6
1,9302,193,65,1908,2807,273,63,7,16,44,898,12
1,9245,192,65,1907,2802,265,62,7,8,43,869,6
1,9271,194,65,1908,2803,261,60,7,8,74,893,5
1,9233,192,64,1908,2802,250,59,3,16,48,980,4
1,9302,193,65,1908,2806,266,61,3,16,26,867,9
1,9119,185,64,1906,2793,317,45,10,17,48,863,0
1,9119,188,64,1906,2793,225,46,12,21,50,856,1
1,9127,191,64,1907,2793,272,84,11,21,48,868,0
1,9272,198,65,1909,2803,273,70,38,8,55,967,6
1,9119,192,64,1906,2793,238,43,7,21,38,855,0
1,9247,193,64,1907,2801,268,68,7,21,44,889,9
1,9158,190,64,1907,2796,234,44,28,11,26,905,0
1,9164,185,64,1908,2797,233,42,14,16,51,872,0
1,9160,187,64,1907,2795,331,87,3,21,44,836,0
1,9302,193,64,1908,2807,253,55,13,13,34,836,13
1,9239,193,65,1906,2801,259,56,7,21,31,899,6
1,9172,190,64,1909,2797,243,61,38,13,39,987,1
1,9302,193,65,1908,2807,262,56,3,16,40,864,11
1,9302,194,64,1908,2807,249,55,7,16,38,895,12
1,9279,189,64,1907,2803,256,62,4,21,47,829,4
1,9101,190,64,1906,2792,234,53,10,21,33,865,0
1,9271,187,64,1906,2803,274,67,6,30,35,824,6
1,9172,189,64,1909,2797,318,63,10,16,79,867,0
1,9101,190,64,1906,2792,248,69,10,18,43,865,0
1,9113,190,64,1908,2795,232,59,7,16,44,839,1
1,9182,190,64,1908,2798,254,61,36,13,54,885,0
1,9295,190,64,1909,2805,275,64,18,15,42,857,5
1,9245,192,64,1907,2802,250,60,7,8,39,849,4
1,9247,192,64,1907,2801,245,66,10,20,38,842,8
1,9107,186,64,1907,2793,220,40,25,12,47,824,0
1,9287,187,64,1908,2805,327,82,10,13,40,837,6
1,9233,193,64,1908,2802,264,62,4,7,34,859,2
1,9152,191,64,1906,2795,242,63,7,21,40,838,0
1,9190,189,64,1909,2798,237,40,7,16,42,904,0
1,9152,194,64,1906,2795,300,78,7,21,47,857,0
1,9101,192,64,1906,2792,243,77,10,23,49,868,1
1,9113,189,64,1908,2794,254,71,3,30,41,833,0
1,9182,185,64,1908,2798,297,60,10,16,41,866,2
1,9113,193,64,1908,2794,224,43,7,16,38,864,0
1,9247,189,64,1907,2801,283,69,8,21,46,886,6
1,9253,195,64,1908,2802,318,90,7,8,43,829,4
1,9152,193,64,1906,2795,279,91,7,21,44,882,0
1,9113,192,64,1908,2794,322,97,7,16,49,857,0
1,9158,191,64,1907,2796,234,40,7,8,47,861,0
1,9287,197,64,1908,2805,333,108,7,16,27,863,3
1,9253,194,65,1908,2802,255,60,6,8,41,874,4
1,9166,188,64,1908,2796,238,41,7,8,27,906,0
1,9239,188,64,1906,2801,296,85,3,21,45,861,5
1,9295,194,65,1909,2806,274,61,34,15,39,877,6
1,9221,190,64,1906,2800,258,59,7,25,41,850,3
1,9113,188,64,1908,2794,224,45,7,16,40,852,0
1,9125,189,64,1907,2794,231,54,7,8,38,826,0
1,9107,192,64,1907,2793,237,64,7,15,38,855,0
1,9229,191,64,1907,2800,267,57,3,21,35,846,5
1,9302,192,64,1908,2806,253,55,6,16,41,874,5
1,9241,190,64,1909,2802,276,77,22,27,44,856,6
1,9229,192,64,1907,2800,262,64,3,18,44,834,5
1,9245,192,64,1907,2802,255,61,7,8,29,869,4
1,9271,189,64,1908,2803,268,57,10,7,44,939,6
1,9152,191,64,1906,2795,252,65,7,21,41,880,0
1,9247,197,64,1907,2801,280,98,10,21,43,876,7
1,9101,190,64,1906,2792,248,67,3,21,46,871,0
1,9158,191,64,1907,2796,242,45,10,5,53,874,0
1,9113,191,64,1908,2795,231,52,40,14,44,848,0
1,9253,194,65,1908,2802,269,60,7,8,44,859,3
1,9279,194,65,1907,2803,271,61,7,21,48,844,3
1,9247,188,64,1907,2801,292,84,7,21,44,875,4
1,9302,195,64,1908,2807,260,59,7,16,45,957,11
1,9133,191,64,1908,2794,228,46,27,10,63,987,0
1,9127,190,64,1907,2793,250,66,7,21,72,896,0
1,9113,190,64,1908,2794,231,64,35,13,45,887,0
1,9127,188,64,1907,2793,259,60,10,17,76,804,0
1,9271,193,64,1906,2803,274,62,6,21,46,869,4
1,9295,195,65,1909,2805,261,71,18,8,62,1032,2
1,9247,193,64,1907,2801,262,61,37,7,74,940,6
1,9125,190,64,1907,2794,239,38,5,8,38,821,0
1,9235,196,65,1908,2801,282,71,9,5,42,876,5
1,9247,193,66,1907,2801,264,60,7,21,49,919,4
1,9253,192,64,1908,2802,256,59,7,8,47,872,4
1,9247,193,64,1907,2801,248,60,4,21,49,848,4
1,9253,192,64,1908,2802,249,57,14,15,31,862,3
1,9310,197,65,1909,2807,298,95,7,16,42,851,10
1,9119,190,64,1906,2794,243,71,5,29,42,866,0
1,9247,189,64,1907,2801,350,86,14,21,27,992,5
1,9271,198,64,1906,2803,261,81,6,21,30,851,4
1,9158,189,64,1907,2796,234,46,7,15,44,841,0
1,9113,192,64,1908,2794,288,70,3,16,47,850,1
1,9279,190,64,1907,2804,247,57,7,21,45,827,3
1,9164,194,64,1908,2798,232,42,6,16,46,821,2
1,9166,188,64,1908,2796,270,85,7,8,75,1028,0
1,9235,188,64,1908,2801,299,85,7,8,42,840,4
1,9287,196,64,1908,2805,259,64,10,11,32,838,8
1,9279,198,65,1907,2803,298,80,7,21,42,849,4
1,9281,192,64,1907,2804,257,60,3,7,33,860,4
1,9271,185,64,1908,2803,316,76,10,8,71,963,11
1,9127,186,64,1907,2793,324,66,27,19,54,907,1
1,9310,195,64,1909,2807,246,54,7,16,44,881,10
1,9182,194,64,1908,2798,270,79,7,16,40,862,1
1,9310,192,64,1909,2807,272,58,3,16,36,883,10
1,9247,190,64,1907,2802,244,59,18,16,43,899,7
1,9221,195,65,1906,2800,272,60,7,20,42,841,4
1,9247,193,64,1907,2801,260,73,3,21,38,862,4
1,9302,197,64,1908,2806,258,59,3,16,46,876,5
1,9182,191,64,1908,2798,239,62,7,16,49,827,0
1,9152,198,64,1906,2795,290,115,7,21,30,856,0
1,9190,191,64,1909,2798,239,61,7,16,75,1039,0
1,9182,185,64,1908,2798,290,59,36,16,39,837,0
1,9113,190,64,1908,2794,247,66,28,11,44,867,0
1,9245,193,65,1907,2802,273,63,5,8,38,858,5
1,9233,191,64,1908,2802,249,58,6,16,40,848,3
1,9125,193,64,1907,2794,243,65,5,8,47,899,0
1,9239,190,64,1906,2801,263,56,10,19,48,870,5
1,9279,202,65,1907,2803,332,108,7,21,48,863,3
1,9182,190,64,1908,2798,246,60,12,16,41,843,0
1,9264,192,64,1908,2803,299,87,10,12,54,973,6
1,9230,189,64,1908,2800,261,59,7,21,56,1005,5
1,9241,193,64,1909,2802,254,58,7,16,44,847,6
1,9271,190,64,1908,2804,285,60,18,8,57,923,9
1,9287,192,64,1908,2805,362,99,10,13,62,974,7
1,9310,195,64,1909,2807,262,63,7,7,40,869,12
1,9310,193,65,1909,2807,264,55,7,16,38,877,11
1,9125,190,64,1907,2794,239,63,27,10,41,850,0
1,9247,192,64,1907,2801,266,62,9,14,53,860,8
1,9245,193,65,1907,2802,283,62,4,8,36,851,5
1,9239,195,65,1906,2801,281,71,7,21,30,820,3
1,9107,191,64,1907,2793,294,79,7,8,37,931,0
1,9239,193,64,1906,2801,275,70,11,21,47,867,8
1,9281,191,64,1907,2804,263,62,27,8,38,844,2
1,9119,193,64,1906,2793,244,70,10,19,44,866,1
1,9248,193,65,1908,2801,250,53,12,18,80,1102,6
1,9127,188,64,1907,2793,235,38,7,21,49,991,0
1,9235,196,65,1908,2801,247,59,7,8,43,861,8
1,9101,193,64,1906,2792,258,82,7,21,79,793,0
1,9182,191,64,1908,2798,243,58,7,16,38,862,0
1,9253,192,64,1908,2802,267,60,4,7,45,861,4
1,9164,195,64,1908,2797,253,71,7,16,41,816,0
