# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1220083,10482,3450,105017,192802,8727,3354,269,142,546,15167,429
1,2294911,11860,3088,215862,376637,18351,3395,251,115,326,14478,341
1,2139845,10308,2512,202391,353834,16993,2988,211,84,292,13075,314
1,1480194,19460,6877,156884,262788,12738,3777,264,108,1996,15510,511
1,1028577,8670,2764,89416,162385,6799,3038,243,92,379,13854,466
1,6470353,79075,8729,700665,1285739,80668,13074,276,93,527,15662,401
1,6382375,78188,8658,691121,1254572,78449,12872,245,123,573,16004,365
1,6444794,78828,8725,697832,1269823,79497,12718,233,126,514,16807,439
1,1478021,19489,6888,157252,265489,13231,3823,242,89,944,15489,538
1,1473041,19367,6835,156172,265164,12975,3797,263,121,440,15089,485
1,1256431,10568,3471,105812,194432,8055,3121,272,94,640,14386,466
1,2332115,12209,3218,218926,383524,18373,3402,217,89,395,14414,379
1,1172691,10096,3304,101502,186958,8249,3549,287,98,299,14002,510
1,1444614,18537,6529,151190,257952,12339,3782,267,94,472,15613,527
1,1487245,19546,6888,157248,265065,13095,3839,283,98,638,15970,469
1,6624951,86467,11768,739993,1326754,82956,13181,242,73,498,17669,476
1,2294913,11875,3092,215864,376637,18255,3366,243,110,392,14472,331
1,6304330,77645,8538,683395,1259563,78986,12853,247,105,425,16425,374
1,2332113,12229,3222,218926,383528,18600,3430,247,103,364,15461,345
1,1409771,18348,6494,149712,253505,12230,3820,268,135,368,15065,545
1,6648284,87042,11832,744038,1345734,84328,13133,238,99,396,18199,458
1,1190412,10072,3285,101940,189864,8265,3375,268,123,424,14850,497
1,1204716,10287,3356,103364,188675,7968,3379,271,101,316,15063,447
1,6618945,86742,11782,741124,1348737,82794,13570,301,138,431,18019,406
1,2139847,10323,2508,202393,353834,16865,2989,239,97,783,13827,284
1,1402548,18256,6431,148681,252184,12408,3764,281,94,768,14821,531
1,2325933,11874,3103,216532,379916,18348,3331,221,101,670,13626,340
1,6527087,85864,11684,730516,1336645,83696,13490,261,115,548,17795,409
1,2548625,20055,6225,263736,448226,22337,3519,240,102,1323,17035,428
1,6368025,77876,8629,689283,1278727,78007,12984,281,93,666,15916,416
1,6653067,87059,11870,744248,1328831,83369,13327,260,140,1460,17826,458
1,1402550,18187,6441,148683,249806,11989,3708,262,116,1165,15209,493
1,1179844,10184,3337,102214,183393,8211,3396,289,104,406,14008,483
1,2560552,20198,6255,264558,450564,22381,3957,223,134,324,16122,452
1,2311087,11844,3079,216010,381551,18359,3481,256,102,369,16518,269
1,2288819,11844,3090,215765,377003,18279,3374,225,96,349,14535,336
1,6382240,77889,8657,691007,1268425,79267,12945,255,129,395,16048,364
1,1416924,18464,6522,150424,252316,12259,3700,252,121,389,15161,510
1,6388825,78337,8645,691331,1254047,78651,12911,242,100,710,16987,401
1,6500206,78304,8607,702138,1264011,78030,13438,259,98,387,17811,368
1,1409703,18335,6469,149393,250995,12222,3710,262,99,590,15924,516
1,2288819,11844,3081,215765,377003,18142,3391,227,107,427,15100,345
1,2375821,12262,3225,220246,387039,18255,3326,240,92,461,14762,313
1,1409769,18333,6477,149712,253505,12373,3791,268,102,575,15997,529
1,2311089,11872,3073,216012,381551,18108,3412,237,91,486,16076,265
1,2325939,11896,3103,216536,379914,18354,3336,220,113,408,13780,324
1,2535113,19970,6207,264041,443966,22466,4266,240,127,1519,15826,403
1,1208210,10193,3333,102440,187521,8096,3162,259,125,383,13953,489
