# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,4202,121,25,1173,1404,65,46,19,0,8,601,1
1,4706,122,25,1365,1620,64,46,13,1,5,627,0
1,4959,118,25,1461,1726,53,34,11,1,31,663,0
1,4666,120,25,1349,1601,94,74,20,0,5,637,2
1,2042,64,18,627,656,32,16,10,0,15,379,0
1,5464,124,25,1653,1942,76,60,21,0,10,622,1
1,5424,122,26,1637,1925,93,76,13,0,33,566,1
1,4120,120,25,1141,1367,77,58,12,1,4,616,0
1,4832,128,25,1413,1673,99,83,13,1,8,632,2
1,4496,123,25,1285,1530,65,46,19,2,23,651,0
1,4511,127,25,1288,1529,73,61,12,1,8,644,0
1,3855,119,25,1042,1256,77,59,19,1,26,548,1
1,4286,126,25,1205,1440,96,79,13,0,6,640,4
1,2042,64,18,627,656,34,19,5,0,5,382,2
1,4036,131,25,1109,1332,97,85,13,1,4,644,20
1,5170,119,25,1541,1818,72,59,10,1,11,638,0
1,2042,66,18,627,656,42,24,5,0,16,375,0
1,4962,118,25,1461,1726,54,34,13,1,12,684,2
1,4162,120,25,1157,1385,63,48,12,1,7,615,0
1,4076,122,25,1125,1350,68,50,21,1,4,643,3
1,5083,121,25,1509,1781,69,51,12,0,4,641,2
1,4748,120,25,1381,1637,60,45,18,1,8,615,1
1,2042,66,18,627,656,52,35,12,0,5,407,17
1,4710,122,25,1365,1618,62,43,18,0,7,612,1
1,4579,128,25,1317,1565,99,87,21,1,5,645,46
1,4288,131,26,1205,1439,98,86,13,1,5,642,30
1,4791,121,25,1397,1655,57,39,12,1,11,587,0
1,2042,66,19,627,656,43,24,7,0,10,300,0
1,5672,122,25,1733,2034,62,43,12,0,7,605,2
1,5336,127,25,1605,1888,103,84,12,0,4,648,42
1,5422,122,25,1637,1925,62,47,13,1,4,605,0
1,4787,120,25,1397,1656,71,56,13,0,4,607,0
1,5300,119,25,1589,1871,56,38,19,1,12,646,1
1,4498,120,25,1285,1528,94,76,18,0,3,618,2
1,4875,131,25,1429,1692,98,86,13,0,11,664,39
1,4451,131,25,1269,1511,97,84,12,1,7,643,35
1,4369,122,25,1237,1474,87,71,11,1,3,619,2
1,4199,124,25,1173,1403,75,56,12,1,4,600,1
1,2042,64,18,627,656,46,32,12,0,11,349,0
1,5800,127,25,1781,2086,99,83,22,0,2,635,2
1,4206,119,25,1173,1403,51,35,13,0,28,567,0
1,4917,125,25,1445,1672,84,67,19,1,7,633,3
1,5086,122,25,1509,1781,60,44,12,1,12,617,1
1,4124,119,25,1141,1367,79,60,12,1,8,604,0
1,3855,117,25,1042,1254,69,49,12,0,25,498,0
1,2042,66,18,627,656,47,30,6,0,7,407,1
1,4453,121,25,1269,1511,59,39,10,1,9,599,0
1,5293,121,25,1589,1872,68,50,13,1,7,599,0
1,2042,63,18,627,656,41,23,10,0,9,402,1
1,5210,119,25,1557,1836,58,40,13,1,7,601,0
1,6432,147,25,1909,2277,110,94,13,2,8,731,47
1,4241,119,25,1189,1421,64,45,12,0,6,599,2
1,5548,128,25,1685,1984,99,85,21,0,20,638,41
1,5165,123,25,1541,1823,56,37,31,1,21,609,0
1,4622,120,25,1333,1583,66,47,20,0,20,626,1
1,2042,70,18,627,656,64,46,12,0,3,411,13
1,4246,121,25,1189,1421,68,49,12,0,8,648,2
1,2042,63,18,627,656,45,26,10,1,3,407,0
1,4409,121,25,1253,1493,77,57,21,1,11,624,3
1,5506,122,25,1669,1962,70,50,20,1,3,635,1
1,6489,148,25,1928,2300,105,85,13,1,7,692,1
1,4244,122,25,1189,1420,67,52,12,1,8,605,2
1,4286,122,25,1205,1438,66,47,13,1,2,637,1
1,2042,66,18,627,656,46,32,5,1,2,397,1
1,5251,118,25,1573,1853,68,49,12,1,2,647,3
1,5588,129,25,1701,1997,98,83,12,0,4,646,38
1,5339,119,25,1605,1890,58,41,12,0,3,612,2
1,5546,119,25,1685,1984,61,43,13,1,5,612,0
1,5799,123,25,1781,2087,59,39,13,1,16,659,0
1,5086,135,25,1509,1782,98,87,21,0,5,624,43
1,5548,125,25,1685,1982,94,78,11,1,5,646,2
1,2042,69,19,627,656,68,45,7,1,15,380,17
1,5254,131,25,1573,1853,98,89,13,0,8,651,44
1,4580,121,25,1317,1566,65,50,12,1,4,596,0
1,5671,122,25,1733,2034,67,47,12,0,5,641,1
1,5797,126,26,1781,2088,94,80,12,1,7,604,0
1,5592,120,25,1701,1996,67,47,19,1,7,606,1
1,5128,129,25,1525,1805,98,85,21,0,11,626,46
1,6412,140,25,1906,2276,97,72,12,1,5,648,1
1,2042,64,18,627,656,36,20,12,1,17,377,2
1,5252,118,25,1573,1853,56,38,12,1,5,608,1
1,3855,120,25,1042,1256,76,59,12,0,5,664,1
1,5590,120,25,1701,1997,66,47,12,1,9,624,0
1,5300,130,25,1589,1875,99,85,21,1,8,649,47
1,5506,120,25,1669,1962,58,37,12,1,4,637,0
1,6468,158,25,1925,2299,145,124,11,1,11,696,52
1,2042,68,18,627,656,46,25,10,1,10,412,0
1,4793,129,25,1397,1656,97,86,12,0,9,641,38
1,4582,124,25,1317,1567,68,48,12,1,22,551,1
1,5126,125,25,1525,1800,96,79,29,0,5,638,3
1,4876,122,25,1429,1692,85,66,12,1,4,603,0
1,3855,120,25,1042,1255,65,46,12,0,5,617,2
1,5462,120,25,1653,1945,62,44,12,1,6,609,1
1,5340,126,25,1605,1890,100,84,12,1,5,637,41
1,4665,121,25,1349,1601,56,36,12,0,4,616,0
1,4119,125,25,1141,1369,70,52,20,1,10,602,1
1,5254,122,25,1573,1852,63,44,12,0,23,618,0
1,4706,124,26,1365,1619,86,72,11,1,7,593,1
1,5210,119,25,1557,1835,66,47,11,1,3,639,1
1,4254,122,25,1189,1421,99,81,12,0,6,641,28
1,5378,126,25,1621,1908,92,75,21,1,4,641,2
1,4286,122,25,1205,1440,64,50,12,0,2,615,0
1,4157,123,25,1157,1386,63,45,13,0,3,636,1
1,2042,64,18,627,656,34,20,6,0,6,391,0
1,5671,121,25,1733,2034,68,48,13,1,7,636,2
1,5647,120,25,1720,2015,67,53,29,1,7,651,0
1,5294,120,25,1589,1872,62,43,13,0,5,622,0
1,4119,119,25,1141,1368,50,30,13,1,3,608,0
1,4493,122,25,1285,1529,94,77,13,0,21,622,1
1,5459,121,25,1653,1944,67,47,13,1,7,600,0
1,2042,65,19,627,656,42,25,11,1,8,386,0
1,4456,121,25,1269,1511,72,51,12,1,4,655,1
1,4708,119,25,1365,1619,69,49,12,1,5,617,0
1,4703,120,25,1365,1620,78,54,12,1,29,497,0
1,5713,131,25,1749,2054,99,87,13,0,8,638,38
1,4162,122,25,1157,1385,68,52,13,1,7,623,0
