# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,4595,122,25,1336,1563,79,68,9,0,6,592,4
1,2029,68,18,628,650,48,32,11,0,5,362,1
1,2029,64,18,628,650,31,15,8,3,17,363,0
1,4347,125,25,1240,1454,73,50,15,1,8,620,2
1,4049,126,25,1128,1328,65,47,12,0,6,591,0
1,5055,120,25,1512,1760,63,46,12,0,5,593,1
1,5013,126,25,1496,1743,93,76,11,0,9,609,27
1,4506,121,25,1304,1529,56,38,12,0,16,596,0
1,5351,127,25,1624,1887,97,81,12,0,16,626,22
1,4674,123,25,1368,1598,62,44,12,0,10,606,2
1,5311,121,25,1608,1870,64,44,11,0,12,591,0
1,5601,119,25,1720,1994,78,62,12,0,21,648,2
1,5390,126,25,1640,1904,94,80,12,0,10,622,27
1,4775,121,25,1403,1635,80,56,11,0,18,630,0
1,5813,120,27,1800,2085,65,44,20,1,4,587,2
1,2029,68,18,628,650,44,27,10,0,4,361,0
1,5685,130,25,1752,2030,102,84,13,0,7,617,25
1,5517,125,25,1688,1958,95,80,12,0,6,599,25
1,2029,211,32,628,650,184,154,6,0,15,386,1
1,4803,124,25,1416,1652,63,46,13,0,12,592,1
1,2029,63,18,628,650,37,19,5,0,20,296,0
1,2029,63,18,628,650,30,14,6,0,19,271,0
1,4427,121,25,1272,1490,64,44,11,0,8,589,0
1,5817,122,25,1800,2487,62,43,16,0,10,594,6
1,4385,134,26,1256,1473,122,99,11,0,17,623,27
1,5220,122,25,1576,1832,65,45,13,0,7,590,2
1,5603,122,25,1720,1995,70,55,20,0,8,572,2
1,4551,121,25,1320,1546,60,48,16,2,7,597,3
1,2029,63,18,628,650,32,13,8,1,19,370,0
1,3921,123,25,1080,1275,88,75,11,0,14,598,0
1,6383,139,25,1909,2256,76,59,28,0,15,626,2
1,5097,124,25,1528,1779,77,62,13,0,18,601,3
1,5225,122,25,1576,1831,64,47,13,0,9,591,0
1,4385,126,25,1256,1471,89,77,12,0,7,606,25
1,3885,126,25,1064,1258,94,80,19,0,10,617,15
1,13823,125,26,3592,1886,79,58,12,0,48,2094,3
1,4847,123,25,1432,1671,65,47,11,0,39,642,1
1,2029,64,18,628,650,35,17,11,0,13,409,0
1,2029,66,18,628,650,36,20,8,0,12,344,1
1,2029,66,18,628,650,46,29,5,0,5,376,9
1,5475,123,25,1672,1942,61,41,12,0,8,593,0
1,3921,129,25,1080,1279,88,77,19,0,19,463,16
1,4298,118,25,1224,1436,54,37,12,0,10,589,1
1,5727,120,25,1768,2049,66,53,12,0,4,589,1
1,5643,127,25,1736,2013,83,64,13,0,9,618,2
1,5685,124,25,1752,2031,66,51,12,0,14,615,3
1,4551,124,25,1320,1547,63,44,13,0,11,607,2
1,4049,122,25,1128,1329,65,48,11,0,10,565,3
1,2029,67,18,628,650,42,25,10,0,20,370,0
1,2029,66,18,628,650,44,32,6,0,9,397,10
1,2029,65,18,628,650,37,19,9,0,4,362,0
1,3923,126,25,1080,1274,88,75,20,0,8,615,16
1,5475,126,25,1672,1941,93,81,12,0,11,593,3
1,4342,123,25,1240,1454,75,56,16,1,31,490,0
1,6388,139,25,1909,2255,68,50,12,0,9,643,2
1,4301,125,25,1224,1437,61,44,12,0,21,589,1
1,2029,66,18,628,650,46,30,6,0,7,384,0
1,4884,121,25,1448,1688,64,46,13,0,11,603,1
1,4005,124,25,1112,1310,92,77,12,0,12,602,1
1,5645,126,26,1736,2013,87,79,13,0,16,605,1
1,5391,124,25,1640,1903,75,63,13,0,13,556,0
1,2029,67,18,628,650,48,31,8,0,10,380,1
1,5401,122,25,1640,1904,67,51,13,0,7,600,1
1,2029,67,18,628,650,54,35,8,1,10,385,9
1,4383,126,25,1256,1471,91,77,12,0,19,532,28
1,4593,121,25,1336,1562,80,59,17,0,25,592,1
1,5514,123,25,1688,1959,95,77,12,0,7,615,28
1,2029,66,18,628,650,44,23,7,0,9,369,1
1,4851,121,25,1432,1671,63,43,12,0,36,671,0
1,4847,122,25,1432,1673,64,47,12,0,10,584,2
1,5223,127,25,1576,1832,92,82,13,0,10,613,26
1,6439,149,25,1928,2277,108,88,12,0,12,596,1
1,4641,120,25,1352,1581,60,42,16,0,22,479,1
1,3826,119,25,1045,1235,55,35,12,0,18,572,1
1,3878,126,25,1064,1259,96,83,12,0,7,591,1
1,5225,122,25,1576,1833,61,44,20,0,12,590,3
1,2029,65,18,628,650,45,26,9,0,12,303,1
1,5103,123,25,1528,1781,105,85,20,0,7,613,0
1,5013,124,25,1496,1742,95,81,13,0,14,611,28
1,4002,123,25,1112,1311,64,48,12,0,16,610,2
1,2029,65,18,628,650,39,22,11,0,24,286,0
1,4553,123,25,1320,1544,76,65,12,0,5,585,1
1,5224,122,25,1576,1833,64,43,13,0,7,593,0
1,5097,120,25,1528,1780,63,46,10,0,9,605,0
1,5769,119,25,1784,2067,69,54,12,0,10,593,0
1,5733,121,25,1768,2049,63,49,11,0,14,619,0
1,2029,67,18,628,650,48,29,7,0,18,369,0
1,5139,120,25,1544,1795,74,61,12,0,4,608,1
1,4089,122,25,1144,1346,64,48,19,0,12,584,2
1,5181,123,25,1560,1814,69,52,25,0,11,591,1
1,2029,63,18,628,650,37,21,6,0,17,373,0
1,4551,120,25,1320,1547,59,41,12,0,16,601,1
1,4469,122,25,1288,1508,93,73,11,0,6,581,1
1,4175,127,25,1176,1383,89,74,13,0,15,603,0
1,4133,132,25,1160,1364,95,86,20,0,10,604,14
1,4049,122,25,1128,1327,60,42,12,0,8,597,0
1,5769,126,25,1784,2067,97,82,11,0,14,633,27
1,4637,121,25,1352,1580,64,44,18,1,19,585,0
1,2029,66,18,628,650,50,31,11,0,10,404,9
1,4511,127,25,1304,1527,93,77,12,0,14,595,0
1,5813,118,25,1800,2085,61,45,12,0,4,596,0
1,4765,124,25,1400,1635,61,43,12,0,15,587,1
1,5223,128,25,1576,1832,94,82,13,0,16,604,27
1,2029,68,18,628,650,46,30,5,0,5,400,5
1,2029,65,18,628,650,38,24,6,0,13,385,0
1,2029,67,18,628,650,45,30,6,0,6,370,0
1,4002,124,25,1112,1311,90,75,12,0,10,594,1
1,2029,66,18,628,650,35,20,11,0,5,373,0
1,2029,67,18,628,650,52,35,8,0,15,386,0
1,4005,127,25,1112,1310,66,49,20,1,13,625,2
1,5139,125,26,1544,1796,93,76,20,0,10,582,2
1,4299,118,25,1224,1439,61,44,11,0,7,598,3
1,5475,120,25,1672,1940,62,46,11,0,11,612,0
