# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9164,194,64,1908,2797,245,58,24,13,36,867,1
1,9182,191,64,1908,2798,243,61,19,22,44,890,0
1,9245,191,64,1907,2802,266,59,7,8,37,832,4
1,9310,191,64,1909,2806,257,63,7,16,42,860,2
1,9233,191,64,1908,2802,316,103,7,16,40,865,2
1,9182,193,64,1908,2798,273,85,19,16,51,836,0
1,9119,189,64,1906,2793,308,73,7,21,43,826,0
1,9152,190,64,1906,2795,256,62,7,21,48,872,1
1,9247,196,65,1907,2801,279,69,7,21,46,889,3
1,9152,188,64,1906,2796,301,80,3,21,31,948,0
1,9107,190,64,1907,2793,235,61,38,8,41,853,0
1,9107,190,64,1907,2793,234,64,3,8,36,863,0
1,9113,191,64,1908,2795,246,60,27,16,47,867,0
1,9227,196,64,1907,2801,314,93,7,8,39,865,2
1,9239,191,65,1906,2801,336,72,7,15,36,860,7
1,9121,190,64,1909,2794,233,48,8,16,47,872,0
1,9152,189,64,1906,2795,282,74,10,18,45,898,1
1,9302,192,64,1908,2806,265,64,7,16,37,829,2
1,9113,194,64,1908,2794,241,68,7,16,55,932,0
1,9119,190,64,1906,2793,237,66,7,21,47,863,1
1,9127,192,64,1907,2793,242,58,6,21,53,1014,0
1,9253,191,64,1908,2802,246,55,3,8,39,932,4
1,9109,187,64,1907,2792,350,77,8,20,43,921,0
1,9107,186,64,1907,2793,220,41,16,9,35,878,1
1,9113,190,64,1908,2794,208,40,7,16,33,862,0
1,9113,191,64,1908,2794,233,64,7,16,40,837,0
1,9247,192,64,1907,2800,257,63,10,14,48,965,9
1,9279,191,64,1907,2803,257,55,6,21,41,926,3
1,9310,191,64,1909,2806,255,60,7,16,43,841,5
1,9253,193,65,1908,2802,243,57,3,7,36,842,4
1,9271,189,64,1908,2803,261,54,11,9,49,883,5
1,9121,184,64,1909,2794,311,58,4,16,47,1083,0
1,9113,190,64,1908,2794,228,49,7,16,44,958,0
1,9271,195,65,1908,2804,258,64,16,9,69,998,5
1,9239,190,64,1906,2801,263,55,4,21,32,844,8
