# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,9247,193,65,1907,2801,276,65,7,21,79,956,5
1,9113,190,64,1908,2794,240,56,7,16,32,868,0
1,9247,193,64,1907,2801,257,60,7,21,44,896,5
1,9109,191,64,1907,2792,240,59,7,21,72,851,0
1,9164,187,64,1908,2797,251,69,7,16,37,871,0
1,9182,191,64,1908,2798,230,41,7,16,40,855,0
1,9295,200,64,1909,2805,315,111,8,9,38,874,2
1,9247,192,64,1907,2801,325,73,11,21,45,878,4
1,9235,189,64,1908,2801,249,64,7,8,68,926,4
1,9302,199,64,1908,2806,263,91,7,7,44,874,4
1,9107,190,64,1907,2793,242,64,12,7,40,875,0
1,9158,191,64,1907,2796,241,58,7,8,49,1022,0
1,9107,185,64,1907,2793,277,54,7,8,46,851,0
1,9233,192,65,1908,2802,266,60,3,7,37,871,6
1,9247,194,65,1907,2801,283,69,4,21,40,861,4
1,9152,189,64,1906,2795,282,83,3,21,52,965,0
1,9247,194,65,1907,2801,253,88,10,14,32,994,8
1,9119,192,64,1906,2793,233,37,10,18,40,848,0
1,9164,185,64,1908,2798,226,37,36,18,47,860,1
1,9289,191,64,1908,2804,253,55,7,7,39,850,4
1,9172,191,64,1909,2797,251,68,35,17,79,1030,0
1,9271,190,64,1908,2803,296,80,5,8,45,876,4
1,9152,188,64,1906,2795,237,41,27,21,37,842,0
1,9253,189,64,1908,2803,245,56,8,7,44,870,4
1,9229,188,64,1907,2800,296,71,7,21,40,831,4
1,9109,191,64,1907,2792,239,63,10,19,64,982,0
1,9101,190,64,1906,2792,233,59,7,21,33,862,0
1,9281,191,64,1907,2804,262,61,12,7,44,844,5
1,9281,194,65,1907,2804,254,56,7,8,39,874,1
1,9279,194,65,1907,2803,261,63,7,21,35,839,4
1,9271,192,64,1908,2803,287,83,7,8,43,858,2
1,9289,193,64,1908,2804,269,63,7,8,37,854,7
1,9119,189,64,1906,2794,245,46,19,21,41,870,0
1,9271,190,65,1908,2803,284,75,3,8,36,892,4
1,9125,190,64,1907,2794,251,62,7,8,43,837,0
