# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1718724,25311,11066,199127,339596,29271,10450,982,247,7296,43008,2155,1220083,10482,3450,105017,192802,8727,3354,269,142,546,15167,429,580008,9742,1041,67575,117718,5227,1576,52,20,220,2816,128
1,2240408,29484,11922,249097,427660,34250,13511,1588,311,3188,55461,2445,2294911,11860,3088,215862,376637,18351,3395,251,115,326,14478,341,580321,9761,1039,67633,117857,5272,1541,45,7,206,2716,129
1,2240475,29403,11816,249096,427650,34023,13462,1677,307,4605,54966,2444,2139845,10308,2512,202391,353834,16993,2988,211,84,292,13075,314,583111,9798,1037,68098,118527,5249,1606,57,8,769,2413,120
1,1697808,25332,11206,198334,337853,28901,10630,1025,224,7125,43213,2088,1480194,19460,6877,156884,262788,12738,3777,264,108,1996,15510,511,580620,9742,1039,67717,117849,5494,1581,47,15,569,2211,128
1,1720994,25425,11305,199176,340073,29063,10652,991,224,4385,42882,2341,1028577,8670,2764,89416,162385,6799,3038,243,92,379,13854,466,581914,9794,1038,67861,118268,5418,1604,52,11,141,2414,148
1,2216628,28785,11574,245865,423698,32484,12403,1118,233,4583,47378,2416,6470353,79075,8729,700665,1285739,80668,13074,276,93,527,15662,401,581918,9777,1040,67941,118204,5199,1556,46,3,157,2278,130
1,2216629,28840,11472,245866,423699,32768,12394,1105,276,3662,48147,2450,6382375,78188,8658,691121,1254572,78449,12872,245,123,573,16004,365,581837,9796,1040,67939,118211,5530,1583,47,48,168,2260,127
1,2216627,28797,11608,245864,423699,33448,12735,1112,270,4576,48038,2623,6444794,78828,8725,697832,1269823,79497,12718,233,126,514,16807,439,581882,9782,1038,67929,118193,5212,1568,51,9,279,2323,125
1,1697745,25385,10997,198330,337841,29605,10788,1057,234,3466,43337,2162,1478021,19489,6888,157252,265489,13231,3823,242,89,944,15489,538,580996,9757,1040,67781,117964,5129,1584,54,12,287,2352,125
1,1697807,25391,11085,198333,337852,29095,10554,993,290,4206,42799,2203,1473041,19367,6835,156172,265164,12975,3797,263,121,440,15089,485,580469,9743,1040,67680,117866,5040,1593,52,7,396,2286,113
1,1718743,25311,11227,199125,339595,28972,10965,995,257,7852,43646,2114,1256431,10568,3471,105812,194432,8055,3121,272,94,640,14386,466,580592,9759,1038,67698,117906,5384,1551,48,33,206,2231,124
1,2238430,29433,11798,249055,427243,33068,13304,1579,290,3656,55604,2402,2332115,12209,3218,218926,383524,18373,3402,217,89,395,14414,379,581598,9778,1038,67894,118174,5409,1545,46,7,198,2210,128
1,1720958,25236,11204,199177,340086,28551,10597,1005,227,3061,41771,2222,1172691,10096,3304,101502,186958,8249,3549,287,98,299,14002,510,580357,9758,1038,67651,117878,5594,1550,50,2,151,2296,128
1,1698726,25376,11194,198348,338014,29848,10899,965,235,4811,43401,2237,1444614,18537,6529,151190,257952,12339,3782,267,94,472,15613,527,580839,9744,1039,67745,117923,5191,1582,46,13,646,2332,129
1,1697752,25279,11097,198333,337842,27975,10570,1022,225,5215,42210,2186,1487245,19546,6888,157248,265065,13095,3839,283,98,638,15970,469,580641,9753,1040,67714,117889,5339,1591,47,7,190,2291,126
1,2175458,28753,11466,242869,418926,32527,12581,1136,201,3839,48054,2538,6624951,86467,11768,739993,1326754,82956,13181,242,73,498,17669,476,581549,9773,1041,67870,118114,5324,1580,52,15,774,2192,121
1,2240408,29600,11916,249097,427659,33994,13351,1674,312,4917,55416,2402,2294913,11875,3092,215864,376637,18255,3366,243,110,392,14472,331,580406,9755,1037,67643,117840,5182,1532,45,14,118,2291,130
1,2215813,28826,11703,245852,423549,32330,12429,1102,231,2834,47697,2377,6304330,77645,8538,683395,1259563,78986,12853,247,105,425,16425,374,581483,9775,1037,67851,118131,5194,1556,48,6,165,2223,106
1,2238399,29435,11783,249052,427247,32584,13263,1652,339,3223,55858,2460,2332113,12229,3222,218926,383528,18600,3430,247,103,364,15461,345,581662,9801,1039,67919,118191,4768,1563,47,6,155,2349,127
1,1700127,25444,11203,198386,338353,29405,10777,966,270,2749,43788,2090,1409771,18348,6494,149712,253505,12230,3820,268,135,368,15065,545,581029,9763,1039,67789,117979,5526,1593,49,4,161,2321,111
1,2176311,28638,11698,242882,419095,32712,12377,1081,232,3320,47793,2548,6648284,87042,11832,744038,1345734,84328,13133,238,99,396,18199,458,581547,9771,1039,67834,118080,5153,1558,51,22,121,2269,127
1,1719614,25311,11299,199142,339764,29483,10431,988,244,5829,42402,2167,1190412,10072,3285,101940,189864,8265,3375,268,123,424,14850,497,580187,9761,1039,67595,117767,5176,1557,46,12,135,2185,141
1,1719672,25354,11091,199144,339765,29318,10761,1059,211,3730,43618,2097,1204716,10287,3356,103364,188675,7968,3379,271,101,316,15063,447,580243,9770,1039,67617,117768,5004,1582,50,9,157,2267,122
1,2176342,28726,11490,242885,419094,32820,12731,1074,251,3174,47618,2266,6618945,86742,11782,741124,1348737,82794,13570,301,138,431,18019,406,581418,9777,1040,67850,118087,5193,1572,45,14,162,2277,110
1,2240474,29445,11905,249095,427655,34276,13567,1582,316,6810,56877,2482,2139847,10323,2508,202393,353834,16865,2989,239,97,783,13827,284,583165,9898,1037,68105,118527,5238,1600,52,34,222,2446,122
1,1700071,25360,11198,198385,338341,28733,10557,1010,232,3542,42892,2325,1402548,18256,6431,148681,252184,12408,3764,281,94,768,14821,531,580467,9746,1040,67668,117848,5219,1564,48,7,195,2731,139
1,2240487,29457,11778,249096,427650,34070,13542,1604,329,5525,55793,2535,2325933,11874,3103,216532,379916,18348,3331,221,101,670,13626,340,581327,9782,1038,67817,118042,5115,1588,52,4,279,2246,127
1,2176340,28685,11567,242883,419093,32382,12432,1095,224,4038,47704,2244,6527087,85864,11684,730516,1336645,83696,13490,261,115,548,17795,409,581382,9769,1038,67851,118086,5311,1535,48,7,253,2244,112
1,2199623,29303,11666,245782,422690,32389,12907,1594,327,4371,55779,2429,2548625,20055,6225,263736,448226,22337,3519,240,102,1323,17035,428,581413,9769,1040,67862,118099,4777,1531,47,12,238,2306,119
1,2216628,28762,11352,245865,423699,32584,12349,1136,236,4246,48297,2605,6368025,77876,8629,689283,1278727,78007,12984,281,93,666,15916,416,581857,9767,1038,67923,118185,5333,1599,97,3,1144,2228,133
1,2176423,28723,11442,242883,419095,32306,12155,1092,231,9203,48056,2540,6653067,87059,11870,744248,1328831,83369,13327,260,140,1460,17826,458,581469,9761,1039,67862,118081,5127,1547,46,7,636,2344,108
1,1700070,25419,11094,198384,338345,29109,10512,966,232,6813,43105,2100,1402550,18187,6441,148683,249806,11989,3708,262,116,1165,15209,493,580462,9734,1040,67672,117851,5503,1580,47,12,169,2289,112
