# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1699983,25429,11346,198380,338330,29565,10744,1001,241,6371,43340,2174,1415825,18425,6487,149756,251957,11982,3802,280,114,1447,16815,481,580658,9757,1041,67743,117880,5207,1560,46,3,257,2379,119
1,2176391,28635,11715,242883,419093,32332,12064,1110,245,6585,49629,2549,6635752,86741,11854,742163,1329796,83306,13480,258,123,1320,18333,446,581546,9784,1038,67869,118084,5217,1534,47,2,208,2389,126
1,2240379,29580,12011,249096,427660,32176,13504,1705,325,3798,55489,2410,2294911,11886,3092,215862,376637,18251,3385,257,88,364,14492,338,580341,9756,1038,67630,117853,5632,1552,47,13,132,2339,119
1,1698726,25433,11085,198348,338016,28520,10745,1018,214,4244,45452,2238,1437463,18453,6496,150478,259141,12355,3746,277,91,447,15640,575,580745,9757,1040,67763,117920,5468,1581,45,22,197,2514,124
1,2214798,29363,11952,248429,424977,33322,13384,1594,332,3584,56526,2372,2165988,10040,2447,205806,356088,17041,3230,212,100,438,14778,339,581910,9811,1039,67882,118281,5085,1553,53,33,783,2941,128
1,1720990,25341,11357,199181,340085,28981,10671,997,222,3139,43549,2229,1172689,10085,3300,101502,183393,7890,3318,280,103,432,14884,471,580333,9759,1039,67646,117893,4966,1560,257,2,581,2283,139
1,2176392,28735,11512,242884,419093,32191,12196,1104,237,4938,47176,2518,6549297,86299,11720,732710,1319757,82495,13456,256,115,464,17459,446,581500,9779,1039,67852,118100,5202,1541,46,1,199,2314,123
1,2174124,28624,11371,242839,418642,31309,12064,1086,231,4068,46942,2581,6679648,87541,12221,747677,1356548,87381,13984,251,106,432,17947,505,581268,9766,1039,67814,118073,5205,1559,46,12,121,2289,133
1,2198282,29223,12006,245755,422439,33678,13137,1575,314,3756,56335,2634,2604561,21122,6612,271822,457068,23450,3896,227,120,395,17326,404,581067,9763,1039,67780,117997,5121,1575,54,33,149,2309,127
1,2238313,29494,11916,249055,427213,33020,13138,1575,288,6397,56636,2427,2375821,12265,3227,220246,387039,18472,3289,237,95,444,15568,315,581350,9769,1038,67813,118053,5217,1569,46,8,209,2352,125
1,2200707,29362,11675,245805,422921,34350,12966,1546,352,6029,56178,2510,2530339,19983,6218,264028,444298,22864,3939,210,127,1205,15819,416,581638,9772,1039,67903,118132,5228,1563,51,5,137,2247,117
1,2200657,29346,11887,245801,422917,33563,13092,1552,312,5436,55836,2304,2542503,20155,6264,265103,446517,22561,4049,222,130,831,15966,396,581735,9767,1040,67906,118171,6087,1605,51,2,217,2293,121
1,2238348,29494,11863,249055,427228,32867,13326,1627,321,5036,55957,2465,2342448,12280,3230,219296,383504,18485,3496,231,112,493,14483,335,580708,9771,1037,67690,117855,5517,1566,49,23,198,2244,124
1,2214556,28656,11496,245825,423280,32789,13885,1107,243,3658,48195,2421,6364948,78303,8744,689763,1279494,79969,13155,375,114,494,16623,393,581438,9789,1037,67844,118119,5436,1603,48,1,213,2274,125
1,2240477,29488,12036,249098,427655,33232,13191,1611,314,5957,56805,2486,2139847,10356,2512,202393,353834,17049,2973,228,101,327,13911,273,583160,9802,1039,68096,118526,4815,1608,57,27,197,2418,138
1,1700013,25468,11073,198382,338333,29497,10610,1006,228,2709,43396,2194,1430133,18616,6552,151180,251957,11657,3775,289,92,689,15014,494,580565,9747,1040,67685,117862,5226,1599,46,3,145,2269,106
1,2200707,29364,11767,245805,422926,33417,13137,1553,317,3504,54360,2398,2530337,19953,6209,264028,444298,22729,3926,222,91,391,15348,418,581618,9768,1039,67893,118152,5231,1599,51,7,132,2281,131
1,2198266,29241,11811,245757,422433,33500,12795,1584,331,4076,55682,2510,2618764,21329,6669,272897,459347,23131,3948,271,112,869,17000,405,581170,9761,1040,67793,118054,5209,1565,48,7,209,2234,101
1,2240476,29567,11932,249097,427655,33388,12995,1549,363,3391,55468,2479,2139846,10325,2510,202392,353834,16953,2970,231,94,363,13067,295,583122,9924,1132,68091,118502,5248,1593,52,4,150,2471,126
1,2238318,29472,11942,249053,427227,33813,13245,1587,317,4807,56511,2587,2342446,12253,3232,219296,383504,18740,3548,309,105,424,15963,336,580674,9768,1037,67693,117872,5195,1545,46,2,219,2422,147
1,2240409,29323,11711,249098,427659,33923,13247,1599,355,4526,56306,2519,2294914,11874,3092,215863,376639,18312,3396,223,125,947,15171,333,580316,9766,1038,67624,117860,5288,1533,54,34,143,2255,138
1,2199591,29251,11906,245778,422691,33964,13140,1576,314,3266,55592,2399,2548624,20009,6205,263735,448227,22508,3943,265,118,270,16199,389,581502,9772,1040,67867,118072,5153,1583,49,6,151,2284,121
1,2176340,28765,11456,242883,419096,31764,12393,1094,265,4877,47912,2582,6640511,86650,11833,743435,1346218,84418,13550,363,110,725,17453,433,581442,9775,1040,67855,118096,5471,1584,47,18,191,2759,114
1,2215813,28858,11560,245852,423548,31688,12478,1143,244,3061,47097,2391,6290275,77499,8542,681535,1268280,78354,12930,260,95,372,17125,390,581463,9768,1037,67854,118135,4747,1579,47,6,162,2292,132
1,1697796,25371,11166,198335,337846,30206,10817,967,238,8253,43032,2229,1472650,19423,6854,156889,263144,12830,3841,259,114,970,16369,557,580849,9767,1040,67766,117945,5176,1574,48,9,211,2252,125
1,2199671,29238,12019,245779,422692,33460,13345,1606,321,4756,55210,2322,2560551,20156,6250,264559,450564,22635,3937,219,99,831,15541,406,581599,9763,1039,67883,118121,5250,1593,50,3,138,2238,140
1,1721100,25466,11114,199181,340108,28197,10508,1026,219,4450,41979,2249,1173549,10153,3335,102082,186126,7963,3275,249,104,383,14032,439,581420,9783,1038,67856,118037,5252,1586,48,12,123,2301,130
1,2174073,28527,11453,242839,418639,31924,12075,1146,254,4477,47872,2611,6658117,87733,12204,745909,1329210,83320,13492,247,105,532,18127,465,581172,9774,1039,67799,118060,5188,1556,50,10,140,2240,123
1,2214553,28809,11502,245822,423281,32822,12696,1093,229,3719,48038,2429,6410083,78794,8770,694787,1257128,79280,12874,254,102,470,16852,374,581491,9774,1038,67863,118097,5129,1585,53,1,205,2799,122
1,1700074,25480,11099,198388,338343,29399,10510,998,244,2921,42318,2160,1424009,18543,6539,150817,250997,11963,3795,383,92,854,15099,505,580398,9756,1040,67673,117867,5266,1570,54,10,146,2266,139
1,1697744,25311,11351,198329,337839,29416,10881,964,255,4618,43551,2231,1478021,19467,6879,157252,266678,12879,3886,260,119,1153,15508,539,581000,9764,1039,67789,117992,5205,1590,49,2,188,2255,134
1,2174072,28523,11566,242838,418643,33005,12636,1121,209,4015,47436,2440,6656375,87252,12183,745523,1326949,82509,13419,255,98,746,18453,473,581201,9761,1040,67787,118036,5015,1582,49,8,1003,2278,116
1,1697720,25404,11228,198329,337841,28845,10920,1032,214,7903,43197,2143,1487244,19505,6882,157247,265065,12450,3830,272,119,682,15551,477,580682,9744,1040,67722,117874,5426,1582,48,7,250,2307,118
1,2240772,29387,11907,249104,427708,34307,13565,1599,318,3196,48278,2654,2288821,11826,3083,215765,377003,18395,3459,265,110,333,15348,389,580791,9766,1039,67709,117961,5589,1551,87,22,259,2402,123
1,1719673,25341,11187,199145,339761,29775,10852,999,245,3550,41972,2087,1197563,10172,3327,102652,191053,8260,3379,299,122,412,14338,473,580202,9753,1038,67609,117783,5195,1566,46,13,292,2261,136
1,2198282,29152,11816,245755,422435,34107,13247,1585,321,5091,55891,2389,2604559,21131,6608,271822,457070,23502,3936,226,117,395,15197,383,581177,9759,1040,67822,118019,5318,1588,54,11,147,2237,131
1,2174073,28611,11599,242839,418641,31517,12111,1120,270,3453,48662,2515,6660679,87460,12161,745728,1336083,82180,13479,268,117,523,18909,429,581196,9776,1038,67804,118051,4829,1561,47,33,159,2271,118
1,2216822,28693,11635,245868,423730,32339,12494,1102,218,3124,47247,2499,6354901,78392,8645,690767,1259917,78241,12811,250,109,534,16470,366,581665,9786,1038,67911,118118,5509,1570,46,36,181,2265,127
1,1700174,25398,11197,198387,338358,28689,10835,1043,241,2964,42996,2167,1404758,18305,6467,149349,253664,11907,3768,258,100,458,14498,527,580907,9750,1039,67780,117955,5442,1597,48,13,157,2304,118
1,1697747,25435,11198,198332,337840,29316,10690,994,247,4259,43030,2199,1478023,19473,6880,157252,265489,12053,3777,257,130,546,16362,571,581031,9763,1040,67792,117975,5252,1549,47,4,568,2329,111
1,2200326,29261,11739,245799,422864,33590,13049,1596,325,7664,56174,2503,2548386,20148,6258,265114,446117,22083,3981,233,112,1212,16014,358,581423,9767,1040,67861,118078,5195,1545,47,7,281,2256,130
1,2175382,28658,11471,242867,418912,30926,11932,1088,224,3696,47841,2608,6511481,85554,11650,726678,1359100,85025,13465,242,100,459,18229,516,581605,9778,1039,67878,118140,5174,1550,46,5,192,2266,130
1,1700126,25433,11306,198385,338349,28985,10808,1038,244,2891,43514,2306,1409771,18338,6481,149712,252316,11473,3719,256,118,452,15358,555,580908,9767,1038,67767,117989,5099,1555,49,3,287,2265,127
1,1697750,25339,11136,198331,337842,29052,10635,1002,211,4490,42887,2137,1494401,19672,6921,157961,266254,12990,3806,259,118,2291,15684,512,580671,9752,1039,67729,117882,5234,1575,49,8,244,2381,133
1,1697808,25368,11258,198334,337853,29519,10566,1034,211,3339,43896,2219,1473039,19370,6841,156172,265166,13610,3878,264,101,652,15364,519,580584,9941,1041,67692,117851,5215,1595,53,7,1006,2239,117
1,2200345,29327,11866,245800,422872,33375,12918,1628,361,3861,55456,2396,2535109,20018,6216,264039,443966,22509,3916,227,141,521,16640,400,581394,9754,1040,67839,118056,5470,1582,47,8,146,2274,102
1,2239754,29364,11879,249078,427487,33185,13013,1617,282,3285,55337,2358,2311091,11857,3066,216012,381551,18164,3440,232,85,366,15343,316,581000,9760,1039,67757,117934,5199,1552,49,33,688,2196,112
1,1718722,25341,11085,199129,339595,30468,11469,995,234,3669,42782,2104,1218190,10531,3474,105590,190791,8477,3444,260,113,598,15542,501,580367,9760,1041,67656,117850,5804,1755,46,3,131,2352,129
1,2175381,28675,11592,242866,418907,31998,11885,1159,215,7404,47741,2482,6579953,85864,11784,734680,1344757,84371,13276,254,97,495,18952,496,581655,9765,1039,67890,118151,5217,1558,46,8,257,2324,107
1,2215813,28879,11521,245852,423546,31860,12569,1164,260,7752,48420,2388,6290968,77282,8558,681751,1271927,79663,13078,258,124,3149,17249,352,581452,9775,1038,67848,118146,5397,1549,50,7,280,2287,131
1,1720927,25480,11312,199175,340066,28634,10374,996,246,4684,41711,2162,1208212,10184,3337,102440,186328,7705,3058,265,108,455,14260,480,580544,9763,1038,67686,117898,5051,1517,50,6,182,2276,124
1,2174122,28647,11544,242837,418642,32661,12355,1121,265,3683,47326,2545,6764679,88550,12322,756887,1355220,84480,13503,282,130,483,18285,490,581328,9775,1039,67818,118077,5180,1573,46,34,157,2285,116
1,2198262,29285,11753,245753,422427,33307,12955,1557,315,4811,55065,2514,2618764,21320,6689,272897,459349,23445,3951,229,99,925,16113,410,581159,9765,1039,67787,118035,4993,1547,48,32,1345,2280,115
1,1697794,25353,11319,198333,337850,29065,10561,974,237,4169,44686,2138,1465497,19295,6836,156177,264331,12282,3740,249,127,533,15320,560,580908,9759,1039,67756,117950,5431,1545,47,13,173,2313,85
1,2175381,28631,11678,242866,418912,32144,12246,1161,232,3642,47859,2554,6681092,86747,11868,745811,1355007,83220,13581,246,96,513,18226,459,581625,9785,1040,67888,118177,5398,1542,49,33,195,2256,132
1,2200344,29294,11806,245799,422873,33624,13095,1556,325,4516,56415,2479,2535109,20037,6231,264039,443966,22585,3912,228,121,542,15873,406,581424,9761,1039,67867,118053,5222,1576,49,9,244,2280,116
1,1698754,25378,11360,198349,338025,29343,10600,1010,256,4762,42898,2196,1425548,18341,6466,149662,255614,12139,3706,275,96,514,14982,535,580702,9742,1040,67722,117894,5249,1566,46,6,126,2287,131
1,1697793,25290,11248,198332,337851,29416,10536,984,232,4820,42785,2520,1472650,19406,6862,156889,263142,12800,3790,263,125,782,15360,570,586118,9765,1039,67760,117977,5232,1582,47,11,122,2323,117
1,2176391,28731,11533,242883,419094,32557,12617,1096,256,6786,48490,2616,6541019,85732,11749,732163,1322889,81861,13224,246,112,1086,17695,490,581328,9771,1040,67825,118092,5133,1555,50,7,3742,2244,132
1,2240478,29564,11818,249099,427656,33840,13344,1597,341,4218,58000,2347,2139846,10305,2510,202392,353834,16905,2979,203,104,419,13872,300,583020,9809,1038,68091,118522,5310,1596,58,8,370,2531,136
1,1697745,25343,11283,198330,337834,29898,10687,967,244,5045,42839,2212,1478023,19479,6886,157252,267867,13210,3829,241,105,1414,15570,526,581011,9767,1040,67782,117965,5232,1559,51,18,249,2273,123
1,1718723,25319,11181,199130,339594,29607,10991,1076,225,4317,41946,2191,1218192,10530,3474,105590,190791,8187,3323,255,107,506,14968,535,580347,9769,1040,67659,117828,5147,1566,47,15,163,2752,129
1,1697794,25313,11097,198333,337850,27161,10552,1153,245,2919,42648,2260,1465501,19355,6836,156179,263142,11959,3717,271,120,417,14635,551,580913,9747,1040,67765,117946,4998,1576,59,5,898,2258,115
1,2176344,28660,11670,242887,419093,32328,12055,1106,243,4923,47676,2475,6640954,86876,11851,743241,1318446,81688,13206,364,97,630,17616,445,581483,9796,1039,67863,118082,5198,1537,52,7,655,2306,109
1,1701712,25288,11170,198674,337961,28880,10560,973,300,4813,46099,2111,1039819,8257,2651,91716,165040,7121,3232,250,125,345,14683,501,581114,9777,1038,67708,118063,5114,1550,51,34,312,2433,141
1,2174073,28591,11386,242839,418636,32572,11982,1094,245,3337,48124,2524,6632806,87070,12137,742764,1329806,81933,13592,361,101,466,17949,458,581212,9760,1040,67793,118073,5259,1563,85,30,659,2246,118
1,1700145,25186,11269,198386,338363,29118,10783,1073,260,4738,43767,2322,1404758,18289,6462,149349,251290,11824,3790,331,107,457,15798,562,580897,9753,1039,67762,117954,5214,1566,47,33,682,2290,140
1,1719612,25368,11111,199140,339764,29855,10829,1001,196,4520,41774,2189,1197563,10176,3327,102652,189864,8203,3335,253,101,636,14277,491,580148,9760,1039,67602,117793,5115,1572,50,7,191,2253,150
1,2199671,29295,11981,245779,422692,33164,13264,1544,353,5660,55037,2339,2560554,20126,6254,264560,450566,22590,4031,248,97,2366,15937,430,581655,9780,1039,67892,118125,5376,1587,50,8,160,2286,138
1,1697794,25383,11108,198333,337851,29666,10535,989,239,4899,43396,2103,1465497,19289,6825,156177,263144,12848,3812,261,104,1091,16290,541,580895,9765,1039,67757,117969,5034,1562,53,2,1276,2370,118
1,2215814,28826,11690,245853,423545,32869,12519,1167,221,3192,47216,2358,6377850,78092,8637,691518,1267255,78241,12735,254,95,360,17077,368,581478,9783,1038,67855,118123,5193,1565,44,13,122,2267,122
1,2238310,29411,11802,249052,427211,32738,13153,1580,314,3161,55554,2478,2375823,12239,3228,220246,387041,18498,3380,224,101,343,13670,341,581444,9789,1038,67840,118072,5405,1561,46,7,601,2270,133
1,2176393,28729,11629,242885,419094,32659,12421,1123,243,4342,47192,2467,6629635,86581,11846,741976,1346617,82811,13552,371,94,666,17572,511,581495,9776,1036,67856,118115,5296,1560,54,7,134,2280,116
1,1721100,25414,11088,199181,340107,28374,10561,1051,236,3209,43221,2098,1166398,10068,3304,101372,184937,8063,3281,256,120,299,14696,478,581437,9741,1037,67850,118037,5382,1597,48,1,124,2269,131
1,2238348,29423,11785,249055,427229,33579,13076,1732,297,5922,56199,2500,2342448,12254,3226,219296,383504,18834,3476,241,89,584,15696,318,580669,9774,1039,67697,117877,5225,1574,52,7,241,2327,132
1,1697744,25283,11162,198329,337839,28924,10426,1062,208,2638,42765,2190,1485176,19564,6903,157964,267869,13122,3866,271,122,573,15136,519,581070,9756,1039,67785,117978,5216,1578,47,11,167,2772,132
1,1700012,25453,11181,198381,338330,28877,10673,1020,211,2916,42010,2258,1422978,18490,6517,150468,251957,12066,3770,277,93,588,14832,525,580414,9748,1039,67687,117877,5211,1566,46,7,152,2238,132
1,1720927,25373,11299,199175,340063,28991,10699,989,239,3188,41928,2187,1208210,10172,3338,102440,186328,8104,3161,318,120,463,13221,448,580555,9762,1037,67679,117915,5035,1564,87,11,141,2222,128
1,1701713,25375,11183,198675,337961,29769,10571,971,240,4100,44799,2210,1054125,8450,2721,93140,162662,6844,3179,245,126,259,15574,524,581100,9786,1041,67708,118058,5122,1556,63,33,125,2421,144
1,2199621,29257,11765,245780,422691,32447,13101,1560,335,6386,56537,2537,2548623,19998,6207,263736,448226,22247,3528,238,116,1254,15506,421,581498,9765,1040,67872,118098,5402,1512,45,8,1249,2331,97
1,1697751,25417,11303,198332,337840,28928,10670,963,259,3652,42992,2178,1494397,19620,6918,157959,267443,12868,3881,267,94,646,15304,482,580687,9752,1039,67718,117863,5277,1625,50,8,182,2142,132
1,2240488,29518,11702,249097,427654,33784,13432,1572,300,3260,55882,2407,2325933,11857,3090,216532,379914,18393,3289,218,100,382,13646,281,581313,9769,1038,67804,118013,5214,1561,49,7,157,2239,128
1,2199643,29315,11895,245779,422693,32527,12690,1574,325,5071,56847,2430,2560552,20176,6262,264560,450564,22310,3988,234,117,410,16552,429,581609,9773,1040,67875,118121,5899,1578,45,7,161,2395,120
1,2199641,29255,11865,245777,422692,33570,12997,1601,297,4011,55305,2427,2560550,20124,6246,264558,450564,22640,4017,280,129,428,15590,423,581585,9767,1039,67896,118118,5203,1565,48,1,144,2249,134
1,2214555,28741,11494,245824,423280,32131,12566,1107,246,5490,47088,2361,6483508,79539,8867,702998,1283081,80114,13015,265,123,540,17006,385,581487,9773,1038,67855,118119,5233,1579,68,38,221,2804,131
1,2200344,29310,11808,245799,422866,32719,13154,1588,322,6055,55882,2599,2535109,20003,6219,264039,443966,22824,3939,245,122,1215,16828,428,581364,9767,1038,67850,118034,4806,1575,47,11,207,2283,128
