# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1637,52,12,499,537,65,48,5,0,1,237,68,5588,127,25,1701,1997,98,83,13,0,5,647,39,2765,84,24,892,906,86,57,8,0,2,375,69
1,1643,50,12,500,538,67,49,5,0,17,304,59,5041,128,25,1493,1763,100,85,12,0,14,687,43,2771,83,24,893,907,89,59,8,1,18,443,60
1,1633,45,12,499,537,34,13,5,0,3,227,0,4666,121,25,1349,1603,55,37,13,0,5,624,0,2761,79,24,892,906,56,21,8,0,4,355,0
1,1660,43,12,499,544,50,29,5,0,8,258,0,2042,64,19,627,656,48,28,6,1,10,304,0,2788,75,24,892,913,72,37,8,0,10,387,0
1,1643,46,12,500,538,40,21,5,0,2,249,0,5546,120,25,1685,1979,71,55,13,1,11,606,0,2771,77,24,893,907,59,27,8,1,3,401,1
1,1666,45,12,500,545,60,40,5,0,5,237,0,2042,64,19,627,656,38,24,11,0,13,401,0,2794,76,24,893,914,80,48,8,0,10,362,0
1,1637,44,12,499,537,37,17,5,0,3,228,0,5799,118,26,1781,2088,55,34,11,1,12,617,0,2765,75,24,892,906,58,23,8,0,4,352,0
1,1639,44,12,500,538,37,17,5,0,1,249,1,4372,118,25,1237,1476,57,38,12,0,4,615,0,2767,78,24,893,907,60,26,8,0,2,381,1
1,1637,46,12,499,537,39,22,5,0,0,252,1,5504,121,25,1669,1961,64,47,12,0,5,644,0,2765,79,24,892,906,59,30,8,0,0,388,2
1,1668,46,12,505,551,41,20,5,0,2,232,0,6467,137,25,1925,2298,78,60,12,1,7,656,1,2796,80,24,898,920,63,28,8,0,3,350,0
1,1639,46,12,500,538,41,21,5,0,3,248,1,4034,120,25,1109,1331,63,43,13,1,3,616,0,2767,77,24,893,907,61,28,8,0,4,381,1
1,1637,45,12,499,537,38,20,5,0,7,254,0,5254,120,25,1573,1853,69,49,12,1,10,645,1,2765,77,24,892,906,59,28,8,0,10,381,0
1,1643,45,12,500,538,34,15,5,0,4,240,0,5041,122,25,1493,1762,67,53,13,0,7,610,0,2771,77,24,893,907,53,22,8,0,5,369,0
1,1633,44,12,499,537,36,15,5,0,0,237,1,4577,119,25,1317,1564,59,41,12,1,3,598,0,2761,79,24,892,906,58,24,8,0,0,363,1
1,1637,45,12,499,537,34,15,5,0,3,238,0,5333,120,25,1605,1889,57,38,12,0,4,609,0,2765,79,24,892,906,56,24,8,0,3,371,0
1,1660,45,12,499,544,84,64,5,0,0,228,68,2042,71,18,627,656,57,39,12,0,6,402,15,2788,79,24,892,913,107,74,8,0,0,364,73
1,1633,45,12,499,537,38,18,5,0,4,254,0,4750,120,25,1381,1638,71,52,10,1,8,625,1,2761,77,24,892,906,60,27,8,0,4,393,0
1,1639,46,12,500,538,78,58,5,0,5,238,1,4706,121,25,1365,1618,93,76,11,1,10,600,0,2767,78,24,893,907,97,65,8,0,6,362,1
1,1660,43,12,499,544,40,20,5,0,8,248,0,2042,64,18,627,656,36,21,5,0,18,388,1,2788,75,24,892,913,59,26,8,0,14,362,0
1,1643,51,12,500,538,64,48,5,0,9,240,56,5714,128,25,1749,2052,97,84,12,0,13,630,46,2771,85,24,893,907,86,57,8,0,9,383,58
1,1668,51,12,505,551,64,50,5,0,8,244,62,6470,149,25,1925,2301,111,95,12,2,10,703,44,2796,83,24,898,920,84,60,8,0,9,381,66
1,1633,45,12,499,537,35,15,5,0,2,239,0,3953,119,25,1077,1295,53,34,13,0,6,639,0,2761,77,24,892,906,56,24,8,0,2,359,0
1,1633,44,12,499,537,41,20,5,0,3,253,1,4330,123,25,1221,1458,68,50,10,1,3,638,1,2761,75,24,892,906,61,29,8,0,4,387,2
1,1637,45,12,499,537,33,13,5,0,2,239,0,5251,121,25,1573,1853,60,41,12,0,4,601,0,2765,76,24,892,906,53,21,8,1,4,360,0
1,1643,50,12,500,538,68,49,5,0,5,244,1,5041,132,25,1493,1764,100,83,12,1,3,650,1,2771,84,24,893,907,90,57,8,0,6,378,1
1,1637,44,12,499,537,39,19,5,0,2,244,2,5333,122,25,1605,1890,69,50,29,1,7,623,2,2765,75,24,892,906,60,26,8,0,3,370,2
1,1637,49,12,499,537,69,52,5,0,1,248,65,5424,125,25,1637,1927,99,82,13,1,8,629,43,2765,81,24,892,906,90,61,8,0,1,387,68
1,1637,49,12,499,537,72,55,2,0,1,255,1,5758,123,25,1765,2068,84,70,12,1,3,648,1,2765,80,24,892,906,91,62,5,0,1,384,3
1,1633,51,13,499,537,67,50,5,0,8,251,72,4750,129,25,1381,1638,98,84,21,0,9,647,43,2761,83,25,892,906,86,58,8,0,9,383,75
1,1639,51,12,500,538,65,49,5,0,2,254,1,4033,129,25,1109,1331,92,84,19,2,8,632,2,2767,84,24,893,907,85,56,8,0,3,379,2
1,1633,50,12,499,537,70,50,5,0,1,245,0,4160,125,25,1157,1385,96,79,12,1,8,633,2,2761,81,24,892,906,90,59,8,0,3,375,0
1,1637,45,12,499,537,38,20,5,0,5,238,2,5839,269,40,1797,2106,215,182,21,1,7,607,2,2765,76,24,892,906,60,28,8,0,5,361,2
1,1637,44,12,499,537,33,14,5,0,2,261,0,5842,119,25,1797,2105,61,40,12,1,6,612,2,2765,78,24,892,906,55,22,8,0,2,384,0
1,1637,53,12,499,537,63,48,5,0,5,246,54,5175,133,25,1541,1817,96,86,13,0,6,673,44,2765,85,24,892,906,82,56,8,0,5,384,55
1,1629,47,12,493,530,75,58,5,0,23,347,56,2042,69,18,627,656,61,40,6,0,27,505,12,2757,79,24,886,899,95,66,8,0,24,519,60
1,1633,48,12,499,537,71,52,3,0,7,250,0,4829,128,25,1413,1673,83,67,13,1,9,644,2,2761,81,25,892,906,95,62,6,0,8,394,2
