# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1593,49,12,501,512,68,52,1,1,2,263,0,4595,122,25,1336,1563,79,68,9,0,6,592,4,2722,79,24,894,882,87,59,4,1,2,395,0
1,1616,45,12,502,514,84,65,15,2,1,229,1,2029,68,18,628,650,48,32,11,0,5,362,1,2745,79,24,895,884,107,76,18,2,1,371,2
1,1616,44,12,502,514,36,18,3,1,16,197,0,2029,64,18,628,650,31,15,8,3,17,363,0,2745,76,24,895,884,54,24,6,1,24,340,1
1,1595,45,12,498,509,47,28,3,1,3,261,0,4347,125,25,1240,1454,73,50,15,1,8,620,2,2724,77,24,891,879,70,37,6,1,3,414,0
1,1593,44,12,501,512,34,16,3,1,2,250,0,4049,126,25,1128,1328,65,47,12,0,6,591,0,2722,74,25,894,882,52,22,6,1,2,385,0
1,1597,44,12,501,512,40,22,3,1,4,259,0,5055,120,25,1512,1760,63,46,12,0,5,593,1,2726,74,24,894,882,57,26,6,1,5,393,0
1,1599,53,12,498,509,64,49,3,1,4,247,56,5013,126,25,1496,1743,93,76,11,0,9,609,27,2728,84,24,891,879,84,57,6,1,4,379,58
1,1595,43,12,498,509,32,15,3,1,1,243,0,4506,121,25,1304,1529,56,38,12,0,16,596,0,2724,74,24,891,879,51,22,6,1,7,383,0
1,1599,51,12,498,509,64,47,3,1,4,254,57,5351,127,25,1624,1887,97,81,12,0,16,626,22,2728,84,24,891,879,83,55,6,1,5,399,58
1,1595,44,12,498,509,43,23,3,1,5,250,0,4674,123,25,1368,1598,62,44,12,0,10,606,2,2724,74,25,891,879,59,28,6,1,5,372,0
